# v_dc=-6.829852e-1  i_dc=2.119449e-8  freq=1.077e-4
t_rel_fs,v,i,v_ac,i_ac,actual_i,actual_i_ac,v_cap,is_recording
3.6000e3,-1.311653e0,-6.480221e-2,-6.286677e-1,-6.480223e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
3.6400e3,-1.335312e0,-6.271674e-2,-6.523272e-1,-6.271677e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
3.6800e3,-1.333286e0,-6.058530e-2,-6.503004e-1,-6.058532e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
3.7200e3,-1.358173e0,-5.840946e-2,-6.751876e-1,-5.840948e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
3.7600e3,-1.379746e0,-5.619082e-2,-6.967605e-1,-5.619084e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
3.8000e3,-1.386682e0,-5.393099e-2,-7.036969e-1,-5.393102e-2,-2.000000e-1,-2.023707e-1,-6.110876e0,0
3.8400e3,-1.394835e0,-5.163164e-2,-7.118498e-1,-5.163166e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
3.8800e3,-1.354039e0,-4.929444e-2,-6.710535e-1,-4.929446e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
3.9200e3,-1.399569e0,-4.692109e-2,-7.165840e-1,-4.692111e-2,-2.000000e-1,-2.023707e-1,-6.110876e0,0
3.9600e3,-1.420121e0,-4.451338e-2,-7.371363e-1,-4.451340e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
4.0000e3,-1.412247e0,-4.207304e-2,-7.292615e-1,-4.207306e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
4.0400e3,-1.441653e0,-3.960186e-2,-7.586681e-1,-3.960188e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
4.0800e3,-1.452709e0,-3.710166e-2,-7.697241e-1,-3.710168e-2,-2.000000e-1,-2.023707e-1,-6.110876e0,0
4.1200e3,-1.400246e0,-3.457424e-2,-7.172605e-1,-3.457426e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
4.1600e3,-1.453104e0,-3.202151e-2,-7.701184e-1,-3.202153e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
4.2000e3,-1.465153e0,-2.944530e-2,-7.821673e-1,-2.944532e-2,-2.000000e-1,-2.023707e-1,-6.110876e0,0
4.2400e3,-1.443125e0,-2.684752e-2,-7.601402e-1,-2.684754e-2,-2.000000e-1,-2.023707e-1,-6.110876e0,0
4.2800e3,-1.452265e0,-2.423005e-2,-7.692794e-1,-2.423007e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
4.3200e3,-1.476869e0,-2.159483e-2,-7.938842e-1,-2.159485e-2,-2.000000e-1,-2.023707e-1,-6.110876e0,0
4.3600e3,-1.440781e0,-1.894376e-2,-7.577958e-1,-1.894378e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
4.4000e3,-1.517532e0,-1.627883e-2,-8.345465e-1,-1.627885e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
4.4400e3,-1.535924e0,-1.360196e-2,-8.529393e-1,-1.360198e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
4.4800e3,-1.465274e0,-1.091513e-2,-7.822887e-1,-1.091515e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
4.5200e3,-1.494600e0,-8.220295e-3,-8.116146e-1,-8.220317e-3,-2.000000e-1,-2.023707e-1,-6.110876e0,0
4.5600e3,-1.517219e0,-5.519436e-3,-8.342339e-1,-5.519457e-3,0.000000e0,-2.370690e-3,-6.110876e0,0
4.6000e3,-1.474289e0,-2.814509e-3,-7.913036e-1,-2.814530e-3,0.000000e0,-2.370690e-3,-6.110876e0,0
4.6400e3,-1.468447e0,-1.075419e-4,-7.854617e-1,-1.075630e-4,0.000000e0,-2.370690e-3,-6.110876e0,0
4.6800e3,-1.480832e0,2.599504e-3,-7.978469e-1,2.599482e-3,0.000000e0,-2.370690e-3,-6.110876e0,0
4.7200e3,-1.539336e0,5.304644e-3,-8.563510e-1,5.304623e-3,0.000000e0,-2.370690e-3,-6.110876e0,0
4.7600e3,-1.499910e0,8.005897e-3,-8.169248e-1,8.005875e-3,0.000000e0,-2.370690e-3,-6.110876e0,0
4.8000e3,-1.493352e0,1.070128e-2,-8.103671e-1,1.070126e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
4.8400e3,-1.435057e0,1.338885e-2,-7.520717e-1,1.338882e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
4.8800e3,-1.480469e0,1.606657e-2,-7.974843e-1,1.606655e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
4.9200e3,-1.454739e0,1.873253e-2,-7.717539e-1,1.873251e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
4.9600e3,-1.461131e0,2.138475e-2,-7.781463e-1,2.138473e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
5.0000e3,-1.472128e0,2.402130e-2,-7.891432e-1,2.402128e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
5.0400e3,-1.435319e0,2.664025e-2,-7.523340e-1,2.664022e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
5.0800e3,-1.424836e0,2.923968e-2,-7.418510e-1,2.923966e-2,2.000000e-1,1.976293e-1,-6.110876e0,0
5.1200e3,-1.493685e0,3.181767e-2,-8.106996e-1,3.181765e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
5.1600e3,-1.464095e0,3.437234e-2,-7.811099e-1,3.437232e-2,0.000000e0,-2.370690e-3,-6.110876e0,0
