# v_dc=-4.494976e-2  i_dc=-1.845323e-5  freq=2.154e-3
t_rel_fs,v,i,v_ac,i_ac,actual_i,actual_i_ac,v_cap,is_recording
5.0000e2,-1.699416e-2,-4.663618e-2,2.795560e-2,-4.661772e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
5.0500e2,-1.207840e-2,-5.251209e-2,3.287136e-2,-5.249363e-2,-2.000000e-1,-1.994624e-1,-3.611102e-4,0
5.1000e2,-1.642662e-2,-5.814752e-2,2.852314e-2,-5.812907e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
5.1500e2,-1.879971e-2,-6.351668e-2,2.615005e-2,-6.349823e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
5.2000e2,-1.861327e-2,-6.859495e-2,2.633649e-2,-6.857649e-2,-2.000000e-1,-1.994624e-1,-3.611102e-4,0
5.2500e2,-8.566277e-3,-7.335912e-2,3.638348e-2,-7.334067e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
5.3000e2,-2.926739e-2,-7.778737e-2,1.568236e-2,-7.776892e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
5.3500e2,-1.043544e-2,-8.185940e-2,3.451432e-2,-8.184095e-2,-2.000000e-1,-1.994624e-1,-3.611102e-4,0
5.4000e2,-2.275326e-2,-8.555657e-2,2.219650e-2,-8.553811e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
5.4500e2,-2.156608e-2,-8.886192e-2,2.338368e-2,-8.884347e-2,-2.000000e-1,-1.994624e-1,-3.611102e-4,0
5.5000e2,-1.528598e-2,-9.176037e-2,2.966378e-2,-9.174191e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
5.5500e2,-2.913631e-2,-9.423862e-2,1.581345e-2,-9.422017e-2,-2.000000e-1,-1.994624e-1,-3.611102e-4,0
5.6000e2,-2.370979e-2,-9.628532e-2,2.123997e-2,-9.626687e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
5.6500e2,-4.681271e-2,-9.789108e-2,-1.862946e-3,-9.787263e-2,-2.000000e-1,-1.994624e-1,-3.611102e-4,0
5.7000e2,-4.289307e-2,-9.904858e-2,2.056685e-3,-9.903013e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
5.7500e2,-4.431628e-2,-9.975252e-2,6.334828e-4,-9.973406e-2,-2.000000e-1,-1.994624e-1,-3.611102e-4,0
5.8000e2,-5.671835e-2,-9.999964e-2,-1.176859e-2,-9.998119e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
5.8500e2,-6.300165e-2,-9.978884e-2,-1.805189e-2,-9.977038e-2,-2.000000e-1,-1.994624e-1,-3.611102e-4,0
5.9000e2,-6.508839e-2,-9.912107e-2,-2.013863e-2,-9.910262e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
5.9500e2,-5.381611e-2,-9.799939e-2,-8.866350e-3,-9.798094e-2,-2.000000e-1,-1.994624e-1,-3.611102e-4,0
6.0000e2,-5.240332e-2,-9.642895e-2,-7.453556e-3,-9.641050e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
6.0500e2,-6.727031e-2,-9.441692e-2,-2.232055e-2,-9.439846e-2,-2.000000e-1,-1.994624e-1,-3.611102e-4,0
6.1000e2,-4.662879e-2,-9.197254e-2,-1.679028e-3,-9.195408e-2,-2.000000e-1,-1.994624e-1,-3.611102e-4,0
6.1500e2,-6.520636e-2,-8.910695e-2,-2.025660e-2,-8.908849e-2,-2.000000e-1,-1.994624e-1,-3.611102e-4,0
6.2000e2,-6.464518e-2,-8.583336e-2,-1.969542e-2,-8.581490e-2,-2.000000e-1,-1.994624e-1,-3.611102e-4,0
6.2500e2,-8.217113e-2,-8.216671e-2,-3.722137e-2,-8.214826e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
6.3000e2,-9.436020e-2,-7.812373e-2,-4.941044e-2,-7.810528e-2,-2.000000e-1,-1.994624e-1,-3.611102e-4,0
6.3500e2,-9.096901e-2,-7.372307e-2,-4.601925e-2,-7.370462e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
6.4000e2,-8.840996e-2,-6.898473e-2,-4.346020e-2,-6.896628e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
6.4500e2,-8.782497e-2,-6.393056e-2,-4.287521e-2,-6.391211e-2,-2.000000e-1,-1.994624e-1,-3.611102e-4,0
6.5000e2,-9.025805e-2,-5.858364e-2,-4.530829e-2,-5.856518e-2,-2.000000e-1,-1.994624e-1,-3.611102e-4,0
6.5500e2,-8.547853e-2,-5.296836e-2,-4.052877e-2,-5.294991e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
6.6000e2,-9.499116e-2,-4.711061e-2,-5.004140e-2,-4.709216e-2,-2.000000e-1,-1.994624e-1,-3.611102e-4,0
6.6500e2,-1.012865e-1,-4.103712e-2,-5.633671e-2,-4.101867e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
6.7000e2,-1.137872e-1,-3.477563e-2,-6.883744e-2,-3.475717e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
6.7500e2,-1.001874e-1,-2.835497e-2,-5.523764e-2,-2.833651e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
6.8000e2,-9.909292e-2,-2.180437e-2,-5.414316e-2,-2.178592e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
6.8500e2,-9.380934e-2,-1.515402e-2,-4.885958e-2,-1.513557e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
6.9000e2,-8.439870e-2,-8.434275e-3,-3.944894e-2,-8.415822e-3,0.000000e0,5.376344e-4,-3.611102e-4,0
6.9500e2,-9.009057e-2,-1.675811e-3,-4.514081e-2,-1.657358e-3,0.000000e0,5.376344e-4,-3.611102e-4,0
7.0000e2,-9.179349e-2,5.090232e-3,-4.684373e-2,5.108685e-3,0.000000e0,5.376344e-4,-3.611102e-4,0
7.0500e2,-9.337088e-2,1.183306e-2,-4.842112e-2,1.185151e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
7.1000e2,-9.224337e-2,1.852161e-2,-4.729361e-2,1.854006e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
7.1500e2,-9.209988e-2,2.512534e-2,-4.715012e-2,2.514379e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
7.2000e2,-9.354916e-2,3.161410e-2,-4.859940e-2,3.163256e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
7.2500e2,-9.343657e-2,3.795801e-2,-4.848681e-2,3.797646e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
7.3000e2,-8.920877e-2,4.412809e-2,-4.425901e-2,4.414654e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
7.3500e2,-9.056164e-2,5.009618e-2,-4.561188e-2,5.011463e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
7.4000e2,-9.845717e-2,5.583478e-2,-5.350741e-2,5.585323e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
7.4500e2,-9.354345e-2,6.131778e-2,-4.859369e-2,6.133623e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
7.5000e2,-8.718552e-2,6.651991e-2,-4.223576e-2,6.653836e-2,2.000000e-1,2.005376e-1,-3.611102e-4,0
7.5500e2,-8.338313e-2,7.141741e-2,-3.843337e-2,7.143587e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
7.6000e2,-8.339497e-2,7.598796e-2,-3.844521e-2,7.600641e-2,2.000000e-1,2.005376e-1,-3.611102e-4,0
7.6500e2,-8.373827e-2,8.021045e-2,-3.878851e-2,8.022890e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
7.7000e2,-8.468392e-2,8.406570e-2,-3.973417e-2,8.408415e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
7.7500e2,-8.672635e-2,8.753593e-2,-4.177659e-2,8.755438e-2,2.000000e-1,2.005376e-1,-3.611102e-4,0
7.8000e2,-7.380687e-2,9.060530e-2,-2.885711e-2,9.062376e-2,0.000000e0,5.376344e-4,-3.611102e-4,0
7.8500e2,-7.017269e-2,9.325980e-2,-2.522293e-2,9.327826e-2,2.000000e-1,2.005376e-1,-3.611102e-4,0
