phase,sim_time,eta_a,eta_b,e_delta_a,e_delta_b
pulse,20900.0,0.021538,-0.018100,16,-11
pulse,21000.0,0.021309,-0.024502,15,-13
pulse,21100.0,0.013468,0.012820,15,-9
pulse,21200.0,0.009346,0.012820,13,-9
pulse,21300.0,0.012327,-0.027356,14,-12
pulse,21400.0,0.021538,-0.024465,17,-12
pulse,21500.0,0.018461,-0.024060,17,-13
pulse,21600.0,0.018461,-0.018547,17,-12
pulse,21700.0,0.015699,-0.018237,17,-12
pulse,21800.0,0.015674,-0.023988,17,-13
pulse,21900.0,0.018838,-0.025641,17,-13
pulse,22000.0,0.015674,-0.026946,17,-12
pulse,22100.0,0.018461,-0.009050,17,-8
pulse,22200.0,0.015385,-0.009077,16,-9
pulse,22300.0,0.018349,-0.017991,17,-10
pulse,22400.0,0.018809,-0.025078,17,-13
pulse,22500.0,0.021407,-0.021672,18,-13
pulse,22600.0,0.016393,-0.025848,18,-12
pulse,22700.0,0.018349,-0.018127,18,-11
pulse,22800.0,0.016921,-0.016495,18,-10
pulse,22900.0,0.018349,-0.017937,19,-9
pulse,23000.0,0.015773,-0.010714,19,-8
pulse,23100.0,0.015198,-0.012121,19,-9
pulse,23200.0,0.018237,-0.021021,20,-11
pulse,23300.0,0.024316,-0.008929,23,-11
pulse,23400.0,0.027356,-0.021538,23,-12
pulse,23500.0,0.012442,-0.018072,20,-12
pulse,23600.0,0.012442,-0.024024,20,-12
pulse,23700.0,0.016340,-0.020478,20,-10
pulse,23800.0,0.016502,-0.017964,21,-10
pulse,23900.0,0.021277,-0.020895,21,-10
pulse,24000.0,0.019017,-0.015601,21,-9
pulse,24100.0,0.021638,-0.018721,22,-10
pulse,24200.0,0.024316,-0.017964,22,-10
pulse,24300.0,0.018518,-0.020927,21,-11
pulse,24400.0,0.015129,-0.015748,20,-11
pulse,24500.0,0.012422,-0.024024,20,-11
pulse,24600.0,0.006006,-0.023881,22,-11
pulse,24700.0,0.012012,-0.020990,23,-11
pulse,24800.0,0.018957,-0.025000,22,-11
pulse,24900.0,0.018721,-0.010327,22,-9
pulse,25000.0,0.021244,-0.018265,22,-9
pulse,25100.0,0.015576,-0.025090,22,-12
pulse,25200.0,0.018490,-0.025397,23,-11
pulse,25300.0,0.015385,-0.027586,23,-11
pulse,25400.0,0.021277,-0.018433,24,-10
pulse,25500.0,0.009950,-0.010657,24,-9
pulse,25600.0,0.021244,-0.020927,24,-12
pulse,25700.0,0.021148,-0.027950,24,-12
pulse,25800.0,0.015504,-0.020895,23,-12
pulse,25900.0,0.014035,-0.021978,24,-10
pulse,26000.0,0.022082,-0.015674,24,-8
pulse,26100.0,0.018182,-0.015244,23,-10
pulse,26200.0,0.015267,-0.022690,23,-13
pulse,26300.0,0.018182,-0.026866,23,-13
pulse,26400.0,0.024845,-0.020339,25,-12
pulse,26500.0,0.022082,-0.012598,25,-11
pulse,26600.0,0.016835,-0.018987,25,-10
pulse,26700.0,0.018490,-0.015267,24,-10
pulse,26800.0,0.012384,-0.024390,24,-12
pulse,26900.0,0.022082,-0.022187,25,-12
pulse,27000.0,0.021180,-0.021053,25,-14
pulse,27100.0,0.015480,-0.027190,25,-14
pulse,27200.0,0.021180,-0.018154,25,-11
pulse,27300.0,0.018662,-0.015175,25,-9
pulse,27400.0,0.021212,-0.015106,25,-9
pulse,27500.0,0.021148,-0.015699,25,-10
pulse,27600.0,0.018182,-0.021116,24,-11
pulse,27700.0,0.018182,-0.021212,24,-12
pulse,27800.0,0.020958,-0.021572,25,-13
pulse,27900.0,0.017964,-0.024169,25,-12
pulse,28000.0,0.023952,-0.021148,26,-11
pulse,28100.0,0.018182,-0.015152,24,-10
pulse,28200.0,0.017964,-0.018182,24,-12
pulse,28300.0,0.020958,-0.021244,25,-12
pulse,28400.0,0.020958,-0.024316,25,-12
pulse,28500.0,0.017964,-0.018576,25,-13
pulse,28600.0,0.021021,-0.026986,25,-13
pulse,28700.0,0.020958,-0.020990,25,-11
pulse,28800.0,0.018433,-0.007207,25,-10
pulse,28900.0,0.017964,-0.021021,24,-12
pulse,29000.0,0.017964,-0.020990,24,-12
pulse,29100.0,0.023952,-0.017991,26,-10
pulse,29200.0,0.017964,-0.017991,25,-10
pulse,29300.0,0.020958,-0.024133,25,-13
pulse,29400.0,0.020989,-0.023988,25,-13
pulse,29500.0,0.018018,-0.021212,24,-12
pulse,29600.0,0.020958,-0.015106,25,-10
pulse,29700.0,0.014060,-0.015464,25,-11
pulse,29800.0,0.014970,-0.021909,25,-11
pulse,29900.0,0.012924,-0.014286,26,-11
pulse,30000.0,0.018377,-0.021148,26,-12
pulse,30100.0,0.015625,-0.026187,26,-13
pulse,30200.0,0.017964,-0.018868,26,-13
pulse,30300.0,0.020134,-0.013582,26,-13
pulse,30400.0,0.020989,-0.009077,26,-10
pulse,30500.0,0.020067,-0.009600,26,-10
pulse,30600.0,0.020958,-0.024353,26,-14
pulse,30700.0,0.018377,-0.027190,26,-14
pulse,30800.0,0.016835,-0.016611,25,-11
pulse,30900.0,0.017964,-0.015699,26,-11
pulse,31000.0,0.012289,-0.018100,25,-11
pulse,31100.0,0.015576,-0.016026,25,-12
pulse,31200.0,0.017964,-0.020927,26,-12
pulse,31300.0,0.021277,-0.025478,26,-12
pulse,31400.0,0.021212,-0.018868,26,-12
pulse,31500.0,0.021212,-0.018868,26,-12
pulse,31600.0,0.020958,-0.023952,26,-14
pulse,31700.0,0.018209,-0.022013,25,-13
pulse,31800.0,0.011070,-0.013857,25,-13
pulse,31900.0,0.017964,-0.015083,25,-10
pulse,32000.0,0.015267,-0.016155,25,-11
pulse,32100.0,0.021244,-0.015106,27,-11
pulse,32200.0,0.023952,-0.023916,27,-13
pulse,32300.0,0.017964,-0.020958,26,-12
pulse,32400.0,0.017964,-0.017964,25,-12
pulse,32500.0,0.020958,-0.020927,26,-12
pulse,32600.0,0.020989,-0.015337,26,-11
pulse,32700.0,0.015314,-0.020958,26,-12
pulse,32800.0,0.020374,-0.018721,26,-13
pulse,32900.0,0.012308,-0.019078,25,-12
pulse,33000.0,0.020958,-0.021053,26,-13
pulse,33100.0,0.021021,-0.023916,26,-13
pulse,33200.0,0.021309,-0.023916,26,-13
pulse,33300.0,0.010889,-0.013483,26,-11
pulse,33400.0,0.012500,-0.015674,25,-10
pulse,33500.0,0.015174,-0.018154,25,-13
pulse,33600.0,0.023952,-0.023916,27,-13
pulse,33700.0,0.020339,-0.012072,26,-12
pulse,33800.0,0.015015,-0.017937,25,-11
pulse,33900.0,0.017991,-0.023916,26,-13
pulse,34000.0,0.023988,-0.023952,27,-13
pulse,34100.0,0.015456,-0.020927,26,-12
pulse,34200.0,0.017857,-0.020927,25,-12
pulse,34300.0,0.020989,-0.020927,26,-12
pulse,34400.0,0.018377,-0.020927,26,-12
pulse,34500.0,0.020989,-0.021021,26,-14
pulse,34600.0,0.022436,-0.025118,26,-13
pulse,34700.0,0.015625,-0.018868,25,-12
pulse,34800.0,0.019017,-0.025078,26,-13
pulse,34900.0,0.020927,-0.017964,26,-12
pulse,35000.0,0.020927,-0.017991,26,-12
pulse,35100.0,0.018349,-0.023952,27,-14
pulse,35200.0,0.015385,-0.023411,26,-15
pulse,35300.0,0.020958,-0.015038,27,-13
pulse,35400.0,0.020958,-0.018072,27,-13
pulse,35500.0,0.020989,-0.021116,27,-13
pulse,35600.0,0.012270,-0.018692,26,-13
pulse,35700.0,0.009346,-0.011765,26,-12
pulse,35800.0,0.009509,-0.016722,28,-13
pulse,35900.0,0.015576,-0.015015,28,-13
pulse,36000.0,0.012066,-0.021875,26,-15
pulse,36100.0,0.009693,-0.028846,26,-15
pulse,36200.0,0.003738,0.000000,27,-11
pulse,36300.0,0.012461,-0.014970,27,-11
pulse,36400.0,0.018605,-0.020958,27,-13
pulse,36500.0,0.015385,-0.022508,27,-14
pulse,36600.0,0.015823,-0.016393,27,-15
pulse,36700.0,0.009317,-0.015221,26,-14
pulse,36800.0,0.021705,-0.018072,26,-13
