target_ratio,sim_time,eta_a,eta_b,eta_avg,i_controller_a,i_controller_b,e_delta_a,e_delta_b
1.005,10400.0,0.009146,-0.008942,0.000102,0.065499,-0.059610,0,0
1.005,10500.0,0.015244,-0.011869,0.001687,0.032118,-0.025189,2,-1
1.005,10600.0,0.011817,-0.011869,-0.000026,-0.033760,0.012200,-1,0
1.005,10700.0,0.011940,-0.008902,0.001519,-0.070095,-0.018660,0,1
1.005,10800.0,0.005908,-0.008902,-0.001497,-0.005990,-0.040619,-2,0
1.005,10900.0,0.005908,-0.011905,-0.002998,0.075840,-0.003230,0,-1
1.005,11000.0,0.008863,-0.011905,-0.001521,0.071997,0.028251,1,0
1.005,11100.0,0.015361,-0.006182,0.004589,0.014981,-0.038112,2,1
1.005,11200.0,0.014815,-0.005944,0.004436,-0.080439,-0.104449,0,0
1.005,11300.0,0.006079,-0.011887,-0.002904,-0.039967,-0.054923,-3,-2
1.005,11400.0,0.005908,-0.011887,-0.002989,0.041863,0.006246,0,1
1.005,11500.0,0.005908,-0.008915,-0.001503,0.123693,0.043635,0,1
1.005,11600.0,0.018045,-0.011905,0.003070,-0.018994,0.042527,4,-1
1.005,11700.0,0.014771,-0.011976,0.001397,-0.140943,0.085527,-1,1
1.005,11800.0,0.008863,-0.008996,-0.000066,-0.124165,0.057378,-2,1
1.005,11900.0,0.006192,-0.009464,-0.001636,-0.024609,0.035155,-1,0
1.005,12000.0,0.005908,-0.009023,-0.001557,0.057221,0.012932,0,0
1.005,12100.0,0.011817,-0.009419,0.001199,0.009068,-0.009291,2,0
1.005,12200.0,0.011817,-0.012048,-0.000116,-0.027267,0.012932,0,-1
1.005,12300.0,0.009160,-0.012638,-0.001739,0.013203,0.049970,-1,0
1.005,12400.0,0.012214,-0.009346,0.001434,0.000500,0.087008,1,0
1.005,12500.0,0.012214,-0.009346,0.001434,-0.035835,0.041081,0,1
1.005,12600.0,0.012214,-0.009346,0.001434,-0.072170,0.018858,0,0
1.005,12700.0,0.006107,-0.009569,-0.001731,-0.067149,-0.003365,-2,0
1.005,12800.0,0.006144,-0.009346,-0.001601,0.044223,-0.025588,0,0
1.005,12900.0,0.009259,-0.009317,-0.000029,0.081740,-0.047811,1,0
1.005,13000.0,0.012214,-0.015221,-0.001503,0.069037,0.004041,1,-2
1.005,13100.0,0.012195,-0.009646,0.001274,0.032702,0.029227,0,1
1.005,13200.0,0.012365,-0.009331,0.001517,-0.003633,0.024783,0,1
1.005,13300.0,0.012195,-0.008955,0.001620,-0.039968,0.002560,0,0
1.005,13400.0,0.012195,-0.006240,0.002977,-0.076303,-0.019663,0,0
1.005,13500.0,0.009119,-0.009259,-0.000070,-0.038788,-0.041886,-1,0
1.005,13600.0,0.006144,-0.011887,-0.002871,0.016513,-0.007811,-1,-1
1.005,13700.0,0.008863,-0.011869,-0.001503,0.021473,0.029227,1,0
1.005,13800.0,0.012177,-0.008942,0.001617,-0.020770,0.001171,1,1
1.005,13900.0,0.012403,-0.009217,0.001593,-0.057105,-0.021052,0,0
1.005,14000.0,0.009274,-0.009375,-0.000051,-0.010727,-0.043275,0,0
1.005,14100.0,0.009509,-0.012882,-0.001687,0.012018,-0.024015,0,-1
1.005,14200.0,0.012365,-0.012365,0.000000,-0.009547,0.013023,1,0
1.005,14300.0,0.009274,-0.011869,-0.001298,-0.013329,0.050062,-1,0
