step,time_fs,phase,ac_value,applied_i,v_cell_calc,v_cell_eis,foil_a_de,foil_b_de
80087,450435.00,0.013508,8.104669e-4,-8.104669e-4,-4.927245e-1,-1.061875e0,0,0
80088,450440.00,0.013665,8.199074e-4,-8.199074e-4,-4.938443e-1,-1.051941e0,0,0
80089,450445.00,0.013823,8.293479e-4,-8.293479e-4,-4.642091e-1,-1.056552e0,0,0
80090,450450.00,0.013980,8.387883e-4,-8.387883e-4,-5.130708e-1,-1.051552e0,0,0
80091,450455.00,0.014136,8.481716e-4,-8.481716e-4,-4.664289e-1,-1.057176e0,0,0
80092,450460.00,0.014294,8.576120e-4,-8.576120e-4,-5.092281e-1,-1.054262e0,0,0
80093,450465.00,0.014451,8.670524e-4,-8.670524e-4,-5.067985e-1,-1.058230e0,0,0
80094,450470.00,0.014607,8.764356e-4,-8.764356e-4,-4.556198e-1,-1.053714e0,0,0
80095,450475.00,0.014765,8.858759e-4,-8.858759e-4,-5.545948e-1,-1.055924e0,0,0
80096,450480.00,0.014922,8.953162e-4,-8.953162e-4,-5.556265e-1,-1.055080e0,0,0
80097,450485.00,0.015079,9.047566e-4,-9.047566e-4,-5.539002e-1,-1.056202e0,0,0
80098,450490.00,0.015236,9.141397e-4,-9.141397e-4,-5.549122e-1,-1.056780e0,0,0
80099,450495.00,0.015393,9.235799e-4,-9.235799e-4,-5.486919e-1,-1.056192e0,0,0
80100,450500.00,0.015551,9.330201e-4,-9.330201e-4,-5.489718e-1,-1.055184e0,0,0
80101,450505.00,0.015707,9.424032e-4,-9.424032e-4,-5.564024e-1,-1.057178e0,0,0
80102,450510.00,0.015864,9.518433e-4,-9.518433e-4,-5.563238e-1,-1.056904e0,0,0
80103,450515.00,0.016022,9.612836e-4,-9.612836e-4,-5.543535e-1,-1.057365e0,0,0
80104,450520.00,0.016179,9.707237e-4,-9.707237e-4,-5.557770e-1,-1.061065e0,0,0
80105,450525.00,0.016335,9.801066e-4,-9.801066e-4,-5.545857e-1,-1.059973e0,0,0
80106,450530.00,0.016493,9.895467e-4,-9.895467e-4,-5.488915e-1,-1.058830e0,0,0
80107,450535.00,0.016650,9.989868e-4,-9.989868e-4,-5.455346e-1,-1.058997e0,0,0
80108,450540.00,0.016807,1.008370e-3,-1.008370e-3,-5.491376e-1,-1.058796e0,0,0
80109,450545.00,0.016964,1.017810e-3,-1.017810e-3,-5.448471e-1,-1.056671e0,0,0
80110,450550.00,0.017121,1.027250e-3,-1.027250e-3,-5.408406e-1,-1.061076e0,0,0
80111,450555.00,0.017279,1.036690e-3,-1.036690e-3,-5.497719e-1,-1.061174e0,0,0
80112,450560.00,0.017435,1.046072e-3,-1.046072e-3,-5.585747e-1,-1.060721e0,0,0
80113,450565.00,0.017592,1.055512e-3,-1.055512e-3,-5.536170e-1,-1.062015e0,0,0
80114,450570.00,0.017750,1.064952e-3,-1.064952e-3,-5.629497e-1,-1.064111e0,0,0
80115,450575.00,0.017906,1.074335e-3,-1.074335e-3,-5.589352e-1,-1.058451e0,0,0
80116,450580.00,0.018064,1.083775e-3,-1.083775e-3,-5.655694e-1,-1.059208e0,0,0
80117,450585.00,0.018221,1.093214e-3,-1.093214e-3,-5.697722e-1,-1.058842e0,0,0
80118,450590.00,0.018377,1.102597e-3,-1.102597e-3,-5.654013e-1,-1.052918e0,0,0
80119,450595.00,0.018535,1.112037e-3,-1.112037e-3,-5.648626e-1,-1.057128e0,0,0
