phase,pulse_num,sim_time,eta_a,eta_b,e_delta_a,e_delta_b
rest,3,546700.0,0.002954,-0.018349,0,0
rest,3,546800.0,0.002950,-0.018127,0,0
rest,3,546900.0,0.002950,-0.018127,0,0
rest,3,547000.0,0.002950,-0.018127,0,0
rest,3,547100.0,0.002954,-0.015129,0,0
rest,3,547200.0,0.002950,-0.018127,0,0
rest,3,547300.0,0.002954,-0.018127,0,0
rest,3,547400.0,0.002950,-0.015129,0,0
rest,3,547500.0,0.002959,-0.018519,0,0
rest,3,547600.0,0.002950,-0.018127,0,0
rest,3,547700.0,0.002950,-0.015129,0,0
rest,3,547800.0,0.002959,-0.018265,0,0
rest,3,547900.0,0.002950,-0.015129,0,0
rest,3,548000.0,0.002950,-0.018127,0,0
rest,3,548100.0,0.002959,-0.018127,0,0
rest,3,548200.0,0.002954,-0.015267,0,0
rest,3,548300.0,0.003003,-0.018127,0,0
rest,3,548400.0,0.002950,-0.018127,0,0
rest,3,548500.0,0.002959,-0.018182,0,0
rest,3,548600.0,0.002950,-0.018127,0,0
rest,3,548700.0,0.002950,-0.018127,0,0
rest,3,548800.0,0.002954,-0.018127,0,0
rest,3,548900.0,0.002950,-0.018127,0,0
rest,3,549000.0,0.002950,-0.018127,0,0
rest,3,549100.0,0.002950,-0.018127,0,0
rest,3,549200.0,0.002954,-0.018237,0,0
rest,3,549300.0,0.002954,-0.018633,0,0
rest,3,549400.0,0.002954,-0.018127,0,0
rest,3,549500.0,0.002950,-0.018127,0,0
rest,3,549600.0,0.002950,-0.018377,0,0
rest,3,549700.0,0.003007,-0.018809,0,0
rest,3,549800.0,0.002954,-0.018209,0,0
rest,3,549900.0,0.002950,-0.018127,0,0
rest,3,550000.0,0.002950,-0.018377,0,0
rest,3,550100.0,0.002963,-0.018127,0,0
rest,3,550200.0,0.002950,-0.018265,0,0
rest,3,550300.0,0.002950,-0.018127,0,0
rest,3,550400.0,0.003003,-0.018605,0,0
rest,3,550500.0,0.002990,-0.018154,0,0
rest,3,550600.0,0.002950,-0.018127,0,0
rest,3,550700.0,0.002950,-0.018127,0,0
rest,3,550800.0,0.002950,-0.018154,0,0
rest,3,550900.0,0.002950,-0.018154,0,0
rest,3,551000.0,0.002999,-0.018127,0,0
rest,3,551100.0,0.002963,-0.018321,0,0
rest,3,551200.0,0.002950,-0.018490,0,0
rest,3,551300.0,0.002954,-0.018182,0,0
rest,3,551400.0,0.002954,-0.018182,0,0
rest,3,551500.0,0.003007,-0.018633,0,0
rest,3,551600.0,0.002954,-0.018182,0,0
rest,3,551700.0,0.002950,-0.018127,0,0
rest,3,551800.0,0.002950,-0.015129,0,0
rest,3,551900.0,0.002954,-0.018154,0,0
rest,3,552000.0,0.003044,-0.018182,0,0
rest,3,552100.0,0.002950,-0.018127,0,0
rest,3,552200.0,0.002950,-0.018154,0,0
rest,3,552300.0,0.002950,-0.018127,0,0
rest,3,552400.0,0.002954,-0.018127,0,0
rest,3,552500.0,0.002950,-0.018127,0,0
rest,3,552600.0,0.002950,-0.018377,0,0
rest,3,552700.0,0.002950,-0.018127,0,0
rest,3,552800.0,0.002954,-0.015129,0,0
rest,3,552900.0,0.002950,-0.018127,0,0
rest,3,553000.0,0.002954,-0.018377,0,0
rest,3,553100.0,0.002954,-0.018127,0,0
rest,3,553200.0,0.002950,-0.018127,0,0
rest,3,553300.0,0.002950,-0.018127,0,0
rest,3,553400.0,0.002954,-0.018182,0,0
rest,3,553500.0,0.002954,-0.018182,0,0
rest,3,553600.0,0.002950,-0.018377,0,0
rest,3,553700.0,0.002950,-0.018182,0,0
rest,3,553800.0,0.002954,-0.018127,0,0
rest,3,553900.0,0.003040,-0.018127,0,0
rest,3,554000.0,0.002963,-0.018127,0,0
rest,3,554100.0,0.002950,-0.018127,0,0
rest,3,554200.0,0.002950,-0.018127,0,0
rest,3,554300.0,0.002959,-0.018182,0,0
rest,3,554400.0,0.003012,-0.036036,0,0
rest,3,554500.0,0.002959,-0.018321,0,0
rest,3,554600.0,0.002959,-0.018321,0,0
rest,3,554700.0,0.002950,-0.018127,0,0
rest,3,554800.0,0.002950,-0.018127,0,0
rest,3,554900.0,0.003063,-0.018576,0,0
rest,3,555000.0,0.002954,-0.018127,0,0
