[run_job] id=doe-cos-027
[run_job] workdir=/c/Users/Yeyian PC/Desktop/ParticleSim-master/ParticleSim/runs/doe-cos-027
[run_job] exe=/c/Users/Yeyian PC/Desktop/ParticleSim-master/ParticleSim/target/release/eis_quick_sweep.exe
[run_job] log=/c/Users/Yeyian PC/Desktop/ParticleSim-master/ParticleSim/doe_results/eis_doe_lf/doe-cos-027_amp1e-4_freq3e-7to1e-6_cos.log
[run_job] args: --amplitude 1e-4 --f-min 3e-7 --f-max 1e-6 --points-per-decade 4 --scenario /c/Users/Yeyian PC/Desktop/ParticleSim-master/ParticleSim/measurement_configs/eis_validation_flat_symmetric.toml
[run_job] start=2026-05-04T23:29:32Z
Successfully placed 86 random bodies
Successfully placed 86 random bodies
Successfully placed 598 random bodies
Successfully placed 599 random bodies
scenario=C:/Users/Yeyian PC/Desktop/ParticleSim-master/ParticleSim/measurement_configs/eis_validation_flat_symmetric.toml seed=0xC0FFEE
bodies=3449 foils=2
dt=5 fs  group_a=[1]  group_b=[2]
equilibrating 50000 fs (10000 steps)
zero-current pre-hold 10000 fs (2000 steps)
[EIS] Started sweep (Galvanostatic): 4 frequencies from 1.00e-6 to 3.00e-7 (1/fs)
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Settling elapsed=2000005fs/8000000fs cycles=2.00 samples=0 V=-5.6598e-3 I=-1.0000e-4
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Settling elapsed=2050005fs/8000000fs cycles=2.05 samples=0 V=-3.5882e-2 I=-9.5105e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Settling elapsed=2100005fs/8000000fs cycles=2.10 samples=0 V=-5.1867e-2 I=-8.0900e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Settling elapsed=2150005fs/8000000fs cycles=2.15 samples=0 V=-5.8804e-2 I=-5.8776e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Settling elapsed=2200005fs/8000000fs cycles=2.20 samples=0 V=-7.2128e-2 I=-3.0899e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Settling elapsed=2250005fs/8000000fs cycles=2.25 samples=0 V=-6.0925e-2 I=3.1507e-9
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Settling elapsed=2300005fs/8000000fs cycles=2.30 samples=0 V=-5.3410e-2 I=3.0905e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Settling elapsed=2350005fs/8000000fs cycles=2.35 samples=0 V=-4.0495e-2 I=5.8781e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Settling elapsed=2400005fs/8000000fs cycles=2.40 samples=0 V=-1.6809e-2 I=8.0904e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Settling elapsed=2450005fs/8000000fs cycles=2.45 samples=0 V=-1.3726e-3 I=9.5107e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Settling elapsed=2500005fs/8000000fs cycles=2.50 samples=0 V=2.6787e-2 I=1.0000e-4
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Settling elapsed=2550005fs/8000000fs cycles=2.55 samples=0 V=3.2771e-2 I=9.5105e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Settling elapsed=2600005fs/8000000fs cycles=2.60 samples=0 V=5.2416e-2 I=8.0900e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Settling elapsed=2650005fs/8000000fs cycles=2.65 samples=0 V=7.0830e-2 I=5.8776e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Settling elapsed=2700005fs/8000000fs cycles=2.70 samples=0 V=7.9190e-2 I=3.0899e-5
