target_ratio,sim_time,eta_a,eta_b,eta_avg,i_controller_a,i_controller_b,e_delta_a,e_delta_b
1.005,21900.0,0.010657,-0.015625,-0.002484,0.017813,-0.088598,3,0
1.005,22000.0,0.012638,-0.012177,0.000231,-0.018522,-0.017020,0,-1
1.005,22100.0,0.012579,-0.012403,0.000088,-0.054857,0.021785,0,0
1.005,22200.0,0.006441,0.000000,0.003221,0.021065,0.018800,-2,1
1.005,22300.0,0.009317,-0.009119,0.000099,0.017222,-0.002095,2,0
1.005,22400.0,0.010274,-0.008147,0.001064,-0.022067,-0.022990,1,0
1.005,22500.0,0.011494,-0.003774,0.003860,0.015448,-0.028960,0,0
1.005,22600.0,0.009375,-0.008996,0.000190,0.011607,-0.025975,-1,0
1.005,22700.0,0.008915,-0.011994,-0.001539,0.034352,0.036711,0,-1
1.005,22800.0,0.011887,-0.006070,0.002909,-0.028569,-0.028796,1,1
1.005,22900.0,-0.008696,-0.016807,-0.012751,0.003038,-0.022844,-1,-1
1.005,23000.0,0.009709,-0.004032,0.002838,-0.006770,-0.055345,1,0
1.005,23100.0,0.012779,-0.009740,0.001520,-0.043046,0.040019,0,0
1.005,23200.0,0.012599,-0.009050,0.001774,-0.079381,0.031177,0,1
1.005,23300.0,0.009434,-0.009091,0.000172,-0.033003,-0.007575,-1,0
1.005,23400.0,0.009434,-0.009091,0.000172,-0.010258,-0.046327,0,0
1.005,23500.0,0.011516,-0.013029,-0.000757,0.012487,-0.019462,0,-1
1.005,23600.0,0.007905,-0.019480,-0.005788,0.035232,0.105911,0,-1
1.005,23700.0,0.012862,-0.009434,0.001714,-0.009965,0.001621,1,2
1.005,23800.0,0.012579,-0.009077,0.001751,-0.046300,0.010488,0,0
1.005,23900.0,0.009434,-0.009346,0.000044,-0.020601,-0.016360,-1,0
1.005,24000.0,-0.006896,-0.006920,-0.006908,0.002144,-0.049159,0,0
1.005,24100.0,0.008048,-0.012500,-0.002226,0.024889,-0.004358,0,-1
1.005,24200.0,-0.005000,-0.013008,-0.009004,0.047635,0.028504,0,0
1.005,24300.0,0.012739,-0.006135,0.003302,0.017208,-0.036761,1,0
1.005,24400.0,0.012759,-0.009494,0.001633,-0.030944,0.028789,0,0
1.005,24500.0,0.012579,-0.003205,0.004687,-0.067279,-0.072543,0,1
1.005,24600.0,0.006525,-0.004435,0.001045,-0.041580,-0.018826,-1,-1
1.005,24700.0,0.007143,-0.004149,0.001497,-0.018835,-0.030766,0,1
1.005,24800.0,0.009375,-0.012270,-0.001447,0.003910,0.031919,0,-1
1.005,24900.0,0.009317,-0.012195,-0.001439,0.026655,0.043979,0,0
1.005,25000.0,0.012520,-0.006400,0.003060,0.019860,-0.006704,1,1
1.005,25100.0,0.013400,-0.004141,0.004630,-0.046015,-0.033551,0,0
1.005,25200.0,0.008316,-0.012048,-0.001866,-0.082350,0.002269,0,-1
1.005,25300.0,0.010152,-0.012698,-0.001273,-0.077329,0.041074,-1,0
1.005,25400.0,0.003165,-0.006135,-0.001485,0.099037,-0.066201,-2,1
1.005,25500.0,0.010327,-0.009479,0.000424,0.204501,-0.012377,2,-1
1.005,25600.0,0.015650,-0.012403,0.001623,0.076587,0.026428,2,0
1.005,25700.0,0.006369,0.003984,0.005177,-0.018833,0.029413,0,1
1.005,25800.0,-0.019418,0.000000,-0.009709,-0.066985,-0.024144,-1,-1
1.005,25900.0,0.007313,0.000000,0.003656,-0.059010,-0.006141,-1,0
1.005,26000.0,0.006260,-0.012066,-0.002903,0.022820,0.032664,-1,0
1.005,26100.0,0.009259,-0.009360,-0.000051,0.063291,0.008784,1,1
1.005,26200.0,0.009368,0.000000,0.004684,0.050588,-0.021066,1,0
1.005,26300.0,0.014051,-0.005634,0.004209,0.014253,-0.000149,0,-1
1.005,26400.0,0.012739,-0.004454,0.004142,-0.022082,0.000025,0,0
1.005,26500.0,0.011887,-0.009009,0.001439,-0.058417,0.005901,0,1
1.005,26600.0,0.003145,-0.009023,-0.002939,0.035230,-0.014994,-3,0
1.005,26700.0,0.006182,-0.009917,-0.001867,0.114106,-0.092436,1,0
1.005,26800.0,0.018913,-0.027778,-0.004433,0.012717,0.044823,4,-2
1.005,26900.0,0.012685,0.000000,0.006343,-0.085598,-0.002938,-1,2
1.005,27000.0,0.014260,-0.013722,0.000269,-0.181018,0.056762,0,-1
1.005,27100.0,0.003180,-0.006098,-0.001459,-0.131683,-0.017811,-3,2
1.005,27200.0,0.003125,-0.006349,-0.001612,0.021049,-0.047643,-1,-1
