step,time_fs,phase,ac_value,applied_i,v_cell_calc,v_cell_eis,foil_a_de,foil_b_de
25440,177200.00,0.060827,5.988903e-2,-5.988903e-2,-1.555008e0,-1.123336e0,1,-1
25441,177205.00,0.061324,5.988721e-2,-5.988721e-2,-1.575567e0,-1.114162e0,0,0
25442,177210.00,0.061820,5.988538e-2,-5.988538e-2,-1.541060e0,-1.130874e0,0,0
25443,177215.00,0.062317,5.988353e-2,-5.988353e-2,-1.561923e0,-1.126033e0,0,0
25444,177220.00,0.062813,5.988167e-2,-5.988167e-2,-1.564916e0,-1.142383e0,0,0
25445,177225.00,0.063310,5.987979e-2,-5.987979e-2,-1.559392e0,-1.126302e0,1,-1
25446,177230.00,0.063806,5.987791e-2,-5.987791e-2,-1.516056e0,-1.130711e0,0,0
25447,177235.00,0.064302,5.987599e-2,-5.987599e-2,-1.500977e0,-1.171582e0,0,0
25448,177240.00,0.064798,5.987408e-2,-5.987408e-2,-1.581405e0,-1.139393e0,0,0
25449,177245.00,0.065295,5.987214e-2,-5.987214e-2,-1.501289e0,-1.151021e0,1,-1
25450,177250.00,0.065791,5.987019e-2,-5.987019e-2,-1.574936e0,-1.141147e0,1,0
25451,177255.00,0.066287,5.986823e-2,-5.986823e-2,-1.507700e0,-1.164746e0,0,0
25452,177260.00,0.066784,5.986625e-2,-5.986625e-2,-1.533889e0,-1.174505e0,1,0
25453,177265.00,0.067280,5.986425e-2,-5.986425e-2,-1.516694e0,-1.162159e0,0,0
25454,177270.00,0.067777,5.986224e-2,-5.986224e-2,-1.521983e0,-1.173732e0,1,-1
25455,177275.00,0.068273,5.986021e-2,-5.986021e-2,-1.495268e0,-1.136292e0,0,0
25456,177280.00,0.068769,5.985818e-2,-5.985818e-2,-1.526225e0,-1.164976e0,1,-1
25457,177285.00,0.069265,5.985612e-2,-5.985612e-2,-1.608089e0,-1.149604e0,1,-1
25458,177290.00,0.069762,5.985405e-2,-5.985405e-2,-1.691311e0,-1.157494e0,0,0
25459,177295.00,0.070258,5.985197e-2,-5.985197e-2,-1.631141e0,-1.201790e0,0,0
25460,177300.00,0.070755,5.984987e-2,-5.984987e-2,-1.614617e0,-1.180818e0,0,0
25461,177305.00,0.071251,5.984776e-2,-5.984776e-2,-1.653685e0,-1.168883e0,1,-1
25462,177310.00,0.071748,5.984563e-2,-5.984563e-2,-1.709891e0,-1.171222e0,0,0
25463,177315.00,0.072244,5.984349e-2,-5.984349e-2,-1.580893e0,-1.167400e0,0,0
25464,177320.00,0.072741,5.984133e-2,-5.984133e-2,-1.557564e0,-1.180501e0,1,-1
25465,177325.00,0.073236,5.983916e-2,-5.983916e-2,-1.603247e0,-1.184895e0,0,0
25466,177330.00,0.073733,5.983697e-2,-5.983697e-2,-1.637250e0,-1.181908e0,0,0
25467,177335.00,0.074229,5.983477e-2,-5.983477e-2,-1.634389e0,-1.174658e0,1,-1
25468,177340.00,0.074726,5.983255e-2,-5.983255e-2,-1.561288e0,-1.189458e0,0,0
25469,177345.00,0.075222,5.983033e-2,-5.983033e-2,-1.517734e0,-1.197018e0,0,0
25470,177350.00,0.075719,5.982808e-2,-5.982808e-2,-1.569356e0,-1.186268e0,1,-1
25471,177355.00,0.076215,5.982582e-2,-5.982582e-2,-1.631590e0,-1.186737e0,0,0
25472,177360.00,0.076712,5.982354e-2,-5.982354e-2,-1.557793e0,-1.192592e0,0,0
25473,177365.00,0.077208,5.982126e-2,-5.982126e-2,-1.602455e0,-1.166091e0,0,0
25474,177370.00,0.077704,5.981895e-2,-5.981895e-2,-1.572426e0,-1.173754e0,1,-1
25475,177375.00,0.078200,5.981663e-2,-5.981663e-2,-1.580217e0,-1.189099e0,0,0
25476,177380.00,0.078697,5.981430e-2,-5.981430e-2,-1.699764e0,-1.179723e0,0,0
25477,177385.00,0.079193,5.981195e-2,-5.981195e-2,-1.621826e0,-1.182658e0,1,-1
25478,177390.00,0.079690,5.980958e-2,-5.980958e-2,-1.540252e0,-1.180634e0,0,0
25479,177395.00,0.080186,5.980721e-2,-5.980721e-2,-1.564443e0,-1.177322e0,0,0
25480,177400.00,0.080683,5.980481e-2,-5.980481e-2,-1.560309e0,-1.164482e0,1,-1
25481,177405.00,0.081179,5.980241e-2,-5.980241e-2,-1.548843e0,-1.162694e0,0,0
25482,177410.00,0.081675,5.979998e-2,-5.979998e-2,-1.640217e0,-1.192587e0,0,0
25483,177415.00,0.082171,5.979754e-2,-5.979754e-2,-1.594890e0,-1.176471e0,0,0
25484,177420.00,0.082667,5.979510e-2,-5.979510e-2,-1.556588e0,-1.165456e0,1,-1
25485,177425.00,0.083164,5.979263e-2,-5.979263e-2,-1.574538e0,-1.165292e0,0,0
25486,177430.00,0.083660,5.979015e-2,-5.979015e-2,-1.588500e0,-1.166119e0,0,0
25487,177435.00,0.084157,5.978765e-2,-5.978765e-2,-1.615076e0,-1.148370e0,0,0
25488,177440.00,0.084653,5.978514e-2,-5.978514e-2,-1.570080e0,-1.163248e0,1,-1
25489,177445.00,0.085150,5.978261e-2,-5.978261e-2,-1.617814e0,-1.176678e0,0,0
25490,177450.00,0.085646,5.978008e-2,-5.978008e-2,-1.551741e0,-1.187972e0,0,0
25491,177455.00,0.086143,5.977752e-2,-5.977752e-2,-1.596281e0,-1.158753e0,0,0
25492,177460.00,0.086638,5.977495e-2,-5.977495e-2,-1.562635e0,-1.171947e0,1,-1
25493,177465.00,0.087135,5.977236e-2,-5.977236e-2,-1.610070e0,-1.179467e0,0,0
25494,177470.00,0.087631,5.976977e-2,-5.976977e-2,-1.623748e0,-1.177908e0,1,-1
25495,177475.00,0.088128,5.976715e-2,-5.976715e-2,-1.596922e0,-1.184502e0,0,0
25496,177480.00,0.088624,5.976453e-2,-5.976453e-2,-1.616863e0,-1.218121e0,0,0
25497,177485.00,0.089121,5.976188e-2,-5.976188e-2,-1.545423e0,-1.166963e0,0,0
25498,177490.00,0.089617,5.975922e-2,-5.975922e-2,-1.580830e0,-1.197210e0,0,0
25499,177495.00,0.090114,5.975655e-2,-5.975655e-2,-1.534428e0,-1.200421e0,0,0
25500,177500.00,0.090610,5.975386e-2,-5.975386e-2,-1.535178e0,-1.182694e0,0,0
25501,177505.00,0.091106,5.975116e-2,-5.975116e-2,-1.511624e0,-1.171963e0,0,0
25502,177510.00,0.091602,5.974844e-2,-5.974844e-2,-1.602676e0,-1.178121e0,0,0
25503,177515.00,0.092099,5.974571e-2,-5.974571e-2,-1.635225e0,-1.177730e0,0,0
25504,177520.00,0.092595,5.974296e-2,-5.974296e-2,-1.668748e0,-1.173037e0,0,0
25505,177525.00,0.093092,5.974020e-2,-5.974020e-2,-1.616137e0,-1.163125e0,0,0
25506,177530.00,0.093588,5.973743e-2,-5.973743e-2,-1.629931e0,-1.152413e0,0,0
25507,177535.00,0.094085,5.973464e-2,-5.973464e-2,-1.549657e0,-1.167828e0,0,0
25508,177540.00,0.094581,5.973183e-2,-5.973183e-2,-1.612975e0,-1.175797e0,0,0
25509,177545.00,0.095078,5.972901e-2,-5.972901e-2,-1.629572e0,-1.163091e0,1,-1
25510,177550.00,0.095573,5.972618e-2,-5.972618e-2,-1.639609e0,-1.169501e0,1,-1
25511,177555.00,0.096069,5.972333e-2,-5.972333e-2,-1.550175e0,-1.191996e0,0,0
25512,177560.00,0.096566,5.972046e-2,-5.972046e-2,-1.609041e0,-1.176484e0,1,0
25513,177565.00,0.097062,5.971759e-2,-5.971759e-2,-1.638374e0,-1.137321e0,0,0
25514,177570.00,0.097559,5.971469e-2,-5.971469e-2,-1.590487e0,-1.153833e0,0,0
25515,177575.00,0.098055,5.971179e-2,-5.971179e-2,-1.573709e0,-1.148318e0,0,0
25516,177580.00,0.098552,5.970886e-2,-5.970886e-2,-1.631731e0,-1.190364e0,0,0
25517,177585.00,0.099048,5.970592e-2,-5.970592e-2,-1.583269e0,-1.209422e0,1,-1
25518,177590.00,0.099545,5.970297e-2,-5.970297e-2,-1.613835e0,-1.202396e0,1,-1
25519,177595.00,0.100040,5.970000e-2,-5.970000e-2,-1.625942e0,-1.213966e0,0,0
25520,177600.00,0.100537,5.969702e-2,-5.969702e-2,-1.661461e0,-1.172667e0,0,0
25521,177605.00,0.101033,5.969403e-2,-5.969403e-2,-1.610719e0,-1.183827e0,0,0
25522,177610.00,0.101530,5.969101e-2,-5.969101e-2,-1.628260e0,-1.167862e0,1,-1
25523,177615.00,0.102026,5.968799e-2,-5.968799e-2,-1.683295e0,-1.141819e0,0,0
25524,177620.00,0.102523,5.968494e-2,-5.968494e-2,-1.665226e0,-1.157906e0,1,-1
25525,177625.00,0.103019,5.968189e-2,-5.968189e-2,-1.691543e0,-1.181035e0,1,-1
25526,177630.00,0.103516,5.967882e-2,-5.967882e-2,-1.653201e0,-1.194055e0,0,0
25527,177635.00,0.104012,5.967574e-2,-5.967574e-2,-1.699322e0,-1.189684e0,1,-1
25528,177640.00,0.104508,5.967264e-2,-5.967264e-2,-1.685271e0,-1.199685e0,1,-1
25529,177645.00,0.105004,5.966952e-2,-5.966952e-2,-1.645781e0,-1.204717e0,1,-1
25530,177650.00,0.105501,5.966639e-2,-5.966639e-2,-1.739161e0,-1.197071e0,0,0
25531,177655.00,0.105997,5.966325e-2,-5.966325e-2,-1.606883e0,-1.204028e0,0,0
25532,177660.00,0.106494,5.966009e-2,-5.966009e-2,-1.662987e0,-1.211310e0,1,-1
25533,177665.00,0.106990,5.965692e-2,-5.965692e-2,-1.633838e0,-1.201173e0,0,0
25534,177670.00,0.107487,5.965373e-2,-5.965373e-2,-1.738067e0,-1.189569e0,0,0
25535,177675.00,0.107983,5.965053e-2,-5.965053e-2,-1.612211e0,-1.198166e0,0,0
25536,177680.00,0.108479,5.964731e-2,-5.964731e-2,-1.627166e0,-1.199141e0,1,-1
25537,177685.00,0.108975,5.964408e-2,-5.964408e-2,-1.566731e0,-1.172558e0,1,-1
25538,177690.00,0.109472,5.964083e-2,-5.964083e-2,-1.576926e0,-1.195709e0,0,0
25539,177695.00,0.109968,5.963757e-2,-5.963757e-2,-1.618527e0,-1.196033e0,0,0
25540,177700.00,0.110465,5.963429e-2,-5.963429e-2,-1.573307e0,-1.203765e0,0,0
25541,177705.00,0.110961,5.963100e-2,-5.963100e-2,-1.604762e0,-1.204472e0,0,0
25542,177710.00,0.111457,5.962770e-2,-5.962770e-2,-1.631705e0,-1.186957e0,1,-1
25543,177715.00,0.111954,5.962438e-2,-5.962438e-2,-1.618330e0,-1.201784e0,0,0
25544,177720.00,0.112450,5.962105e-2,-5.962105e-2,-1.692447e0,-1.179999e0,0,0
25545,177725.00,0.112947,5.961769e-2,-5.961769e-2,-1.647907e0,-1.216196e0,0,0
25546,177730.00,0.113442,5.961434e-2,-5.961434e-2,-1.566425e0,-1.191694e0,0,0
25547,177735.00,0.113939,5.961095e-2,-5.961095e-2,-1.619134e0,-1.201292e0,1,-1
25548,177740.00,0.114435,5.960756e-2,-5.960756e-2,-1.525791e0,-1.221603e0,0,0
25549,177745.00,0.114932,5.960415e-2,-5.960415e-2,-1.592244e0,-1.225598e0,1,-1
