target_ratio,sim_time,eta_a,eta_b,eta_avg,i_controller_a,i_controller_b,e_delta_a,e_delta_b
1.005,10900.0,0.010050,-0.012678,-0.001314,0.052628,-0.037253,1,1
1.005,11000.0,0.012903,-0.012158,0.000373,-0.004007,-0.060001,1,0
1.005,11100.0,0.012618,-0.018809,-0.003095,-0.039994,0.029531,0,-2
1.005,11200.0,0.009677,-0.015290,-0.002807,0.012514,0.015672,-1,1
1.005,11300.0,0.019048,-0.017513,0.000767,0.006021,0.052010,0,0
1.005,11400.0,0.010152,-0.014519,-0.002183,0.029029,0.017445,0,1
1.005,11500.0,0.012422,-0.012140,0.000141,-0.015807,-0.005302,1,0
1.005,11600.0,0.012422,-0.012085,0.000169,-0.051794,-0.013279,0,0
1.005,11700.0,0.009464,-0.009331,0.000066,-0.034686,-0.071301,-1,0
1.005,11800.0,0.006221,-0.015267,-0.004523,0.023721,-0.020272,-1,-1
1.005,11900.0,0.013029,-0.015594,-0.001283,0.049678,-0.022340,1,1
1.005,12000.0,0.009464,-0.012103,-0.001320,0.072685,-0.045087,0,0
1.005,12100.0,0.012800,-0.012658,0.000071,-0.007549,-0.026475,1,-1
1.005,12200.0,0.012480,-0.012085,0.000198,-0.043536,0.009862,0,0
1.005,12300.0,0.009917,-0.009917,-0.000000,-0.005780,-0.004023,-1,1
1.005,12400.0,0.009375,-0.009434,-0.000029,0.017227,-0.026770,0,0
1.005,12500.0,0.012500,-0.012327,0.000087,-0.024659,-0.016962,1,-1
1.005,12600.0,0.003311,-0.012559,-0.004624,0.036698,0.013434,-2,0
1.005,12700.0,0.012924,-0.009077,0.001923,-0.031738,0.014321,2,1
1.005,12800.0,0.013986,-0.009524,0.002231,-0.014689,-0.008427,0,0
1.005,12900.0,0.003960,-0.009539,-0.002789,0.026076,-0.031174,-1,0
1.005,13000.0,0.006319,-0.012121,-0.002901,0.096282,0.005242,0,-1
1.005,13100.0,0.009509,-0.012103,-0.001297,0.104540,0.041579,1,0
1.005,13200.0,0.012559,-0.012177,0.000191,0.095042,0.077916,1,0
1.005,13300.0,0.012882,-0.006920,0.002981,0.011914,-0.030504,1,2
1.005,13400.0,0.027149,-0.011321,0.007914,-0.083071,-0.068023,0,0
1.005,13500.0,0.009360,-0.015129,-0.002884,-0.051213,0.015582,-2,-2
1.005,13600.0,0.009836,-0.009119,0.000359,-0.028205,-0.033736,0,2
1.005,13700.0,0.009360,-0.012177,-0.001408,-0.005198,0.014419,0,0
1.005,13800.0,0.009569,-0.009105,0.000232,0.017809,0.012351,0,1
1.005,13900.0,0.026549,-0.014311,0.006119,-0.012278,0.025054,1,0
1.005,14000.0,0.009360,-0.012103,-0.001371,0.025478,0.061392,-1,0
1.005,14100.0,0.012759,-0.010733,0.001013,-0.016408,0.062278,1,1
1.005,14200.0,0.006079,-0.006380,-0.000150,0.024297,-0.028417,-1,1
1.005,14300.0,0.009317,-0.009390,-0.000036,0.047305,-0.074799,0,-1
1.005,14400.0,0.009693,-0.016584,-0.003445,0.011318,0.038382,1,-2
1.005,14500.0,0.009524,-0.029762,-0.010119,-0.024669,0.104263,0,0
1.005,14600.0,0.012739,-0.009836,0.001451,-0.060656,0.043111,0,2
1.005,14700.0,0.012559,-0.006107,0.003226,-0.096643,-0.059412,0,1
1.005,14800.0,0.006349,-0.020690,-0.007170,0.000112,-0.002288,-2,-2
1.005,14900.0,0.009404,-0.012698,-0.001647,0.029020,0.034050,1,1
1.005,15000.0,0.010363,-0.013445,-0.001541,0.052027,-0.018240,0,0
1.005,15100.0,0.012520,-0.012085,0.000217,-0.010507,-0.040988,1,0
1.005,15200.0,0.018018,-0.012195,0.002911,-0.046494,0.001284,0,-1
1.005,15300.0,0.012520,-0.015723,-0.001602,-0.082481,0.031739,0,0
1.005,15400.0,0.009494,-0.012539,-0.001523,-0.050625,0.003083,-1,1
1.005,15500.0,0.006240,-0.012066,-0.002913,0.013648,-0.019664,-1,0
1.005,15600.0,0.009756,-0.013201,-0.001723,0.095654,0.031444,1,0
1.005,15700.0,0.012698,-0.009360,0.001669,0.027218,0.002788,1,1
1.005,15800.0,0.012480,-0.009105,0.001688,-0.008769,-0.019959,0,0
1.005,15900.0,0.012461,-0.012442,0.000010,-0.044756,0.042966,0,-1
1.005,16000.0,0.012719,-0.012678,0.000020,-0.080743,0.079304,0,0
1.005,16100.0,0.012480,-0.011817,0.000332,-0.116729,0.118104,0,1
1.005,16200.0,0.006240,-0.006024,0.000108,-0.011125,0.015474,-2,2
1.005,16300.0,0.006221,-0.009119,-0.001449,0.070881,-0.019335,0,-1
1.005,16400.0,0.013582,-0.012461,0.000561,0.120379,-0.042345,2,0
1.005,16500.0,0.015576,-0.012158,0.001709,-0.015845,-0.038728,1,0
1.005,16600.0,0.012599,-0.012559,0.000020,-0.060681,-0.002798,-1,0
1.005,16700.0,0.006221,-0.015361,-0.004570,0.033124,0.033191,-2,0
1.005,16800.0,0.009464,-0.009023,0.000221,0.038432,-0.010451,1,1
1.005,16900.0,0.006380,-0.012638,-0.003129,0.061439,-0.039343,0,0
1.005,17000.0,0.012638,-0.012539,0.000050,0.034302,-0.097646,1,0
1.005,17100.0,0.015949,-0.019108,-0.001580,-0.054785,0.035602,1,-2
1.005,17200.0,0.006221,-0.009554,-0.001667,-0.040626,0.083390,-2,2
1.005,17300.0,0.009302,-0.012598,-0.001648,-0.017618,0.024999,0,0
1.005,17400.0,0.012500,-0.014679,-0.001089,0.090938,0.001989,-1,0
1.005,17500.0,0.009419,-0.012121,-0.001351,0.128695,-0.021021,1,0
