frame,time_fs,mode_f1,mode_f2,mode_f3,mode_f4,mode_f5,setpoint_f1,setpoint_f2,setpoint_f3,setpoint_f4,setpoint_f5,actual_ratio_f1,actual_ratio_f2,actual_ratio_f3,actual_ratio_f4,actual_ratio_f5,delta_electrons_f1,delta_electrons_f2,delta_electrons_f3,delta_electrons_f4,delta_electrons_f5,li_metal_count_f1,li_metal_count_f2,li_metal_count_f3,li_metal_count_f4,li_metal_count_f5
9703,48515,OP,CC,CC,OP,OP,1.000000,-0.020000,0.020000,1.000000,1.000000,1.001758,0.866066,1.079320,1.000000,0.997055,-1,-20,20,1,0,1476,1323,1535,1380,1468
9903,49515,OP,CC,CC,OP,OP,1.000000,-0.020000,0.020000,1.000000,1.000000,1.001360,0.872199,1.072903,0.998879,0.987962,0,-20,21,0,0,1241,975,1320,662,933
10103,50515,CC,OP,OP,CC,CC,0.010000,1.000000,1.000000,-0.020000,0.010000,1.002235,0.861085,1.070485,0.997706,0.994258,0,-17,18,-1,-1,1112,821,1132,642,989
10303,51515,CC,OP,OP,CC,CC,0.010000,1.000000,1.000000,-0.020000,0.010000,1.005076,0.987770,1.004605,0.985321,1.003145,10,202,-173,-20,10,1149,1160,1290,860,1360
10503,52515,CC,OP,OP,CC,CC,0.010000,1.000000,1.000000,-0.020000,0.010000,1.010721,0.999047,0.993644,0.980190,1.005571,10,18,-23,-20,10,1449,819,1186,931,847
10703,53515,CC,OP,OP,CC,CC,0.010000,1.000000,1.000000,-0.020000,0.010000,1.008182,0.997301,0.998276,0.971333,1.015504,11,7,1,-20,10,1481,1252,1510,1270,1318
10903,54515,CC,OP,OP,CC,CC,0.010000,1.000000,1.000000,-0.020000,0.010000,1.020869,1.000000,1.000539,0.964128,1.017172,10,5,0,-20,10,1543,1375,1625,1359,1517
11103,55515,CC,OP,OP,CC,CC,0.010000,1.000000,1.000000,-0.020000,0.010000,1.021356,1.001381,0.995798,0.960212,1.019048,10,0,-1,-20,10,847,494,722,524,715
11303,56515,CC,OP,OP,CC,CC,0.010000,1.000000,1.000000,-0.020000,0.010000,1.026914,1.000650,0.998316,0.946104,1.028286,11,2,0,-19,10,1442,1309,1551,1310,1573
11503,57515,CC,OP,OP,CC,CC,0.010000,1.000000,1.000000,-0.020000,0.010000,1.030885,1.000000,0.999285,0.938053,1.021961,11,1,1,-21,11,1227,900,1169,900,1045
11703,58515,CC,OP,OP,CC,CC,0.010000,1.000000,1.000000,-0.020000,0.010000,1.026336,0.997423,0.999330,0.941708,1.039625,10,0,-1,-20,11,1099,934,1262,988,1158
11903,59515,CC,OP,OP,CC,CC,0.010000,1.000000,1.000000,-0.020000,0.010000,1.045480,1.000000,1.000000,0.925099,1.041237,10,-1,0,-20,10,1573,1323,1558,1292,1516
