step,time_fs,phase,ac_value,applied_i,v_cell_calc,v_cell_eis,foil_a_de,foil_b_de
25454,177270.00,0.067777,4.063509e-3,-4.063509e-3,1.020794e0,1.547192e-1,0,0
25455,177275.00,0.068273,4.093195e-3,-4.093195e-3,1.020111e0,1.549290e-1,0,0
25456,177280.00,0.068769,4.122937e-3,-4.122937e-3,1.039323e0,1.550376e-1,0,0
25457,177285.00,0.069265,4.152621e-3,-4.152621e-3,1.022819e0,1.556607e-1,0,0
25458,177290.00,0.069762,4.182361e-3,-4.182361e-3,1.023586e0,1.553289e-1,0,0
25459,177295.00,0.070258,4.212042e-3,-4.212042e-3,1.039160e0,1.550710e-1,0,0
25460,177300.00,0.070755,4.241780e-3,-4.241780e-3,1.089528e0,1.546280e-1,0,0
25461,177305.00,0.071251,4.271459e-3,-4.271459e-3,1.088048e0,1.557012e-1,0,0
25462,177310.00,0.071748,4.301195e-3,-4.301195e-3,1.021321e0,1.605975e-1,0,0
25463,177315.00,0.072244,4.330873e-3,-4.330873e-3,1.011700e0,1.606764e-1,0,0
25464,177320.00,0.072741,4.360606e-3,-4.360606e-3,1.036635e0,1.552983e-1,0,0
25465,177325.00,0.073236,4.390282e-3,-4.390282e-3,1.017496e0,1.557871e-1,0,0
25466,177330.00,0.073733,4.420013e-3,-4.420013e-3,1.039910e0,1.550354e-1,0,0
25467,177335.00,0.074229,4.449687e-3,-4.449687e-3,1.077431e0,1.541953e-1,0,0
25468,177340.00,0.074726,4.479415e-3,-4.479415e-3,1.027501e0,1.539539e-1,0,0
25469,177345.00,0.075222,4.509087e-3,-4.509087e-3,1.007771e0,1.502602e-1,0,0
25470,177350.00,0.075719,4.538814e-3,-4.538814e-3,1.029035e0,1.515818e-1,0,0
25471,177355.00,0.076215,4.568482e-3,-4.568482e-3,1.019456e0,1.558058e-1,0,0
25472,177360.00,0.076712,4.598207e-3,-4.598207e-3,1.069227e0,1.560859e-1,0,0
25473,177365.00,0.077208,4.627874e-3,-4.627874e-3,1.019506e0,1.564702e-1,0,0
25474,177370.00,0.077704,4.657596e-3,-4.657596e-3,1.039363e0,1.564479e-1,0,0
25475,177375.00,0.078200,4.687261e-3,-4.687261e-3,1.000680e0,1.560790e-1,0,0
25476,177380.00,0.078697,4.716980e-3,-4.716980e-3,9.490227e-1,1.559533e-1,0,0
25477,177385.00,0.079193,4.746642e-3,-4.746642e-3,9.488724e-1,1.552315e-1,0,0
25478,177390.00,0.079690,4.776360e-3,-4.776360e-3,9.968485e-1,1.559212e-1,0,0
25479,177395.00,0.080186,4.806020e-3,-4.806020e-3,1.008580e0,1.551083e-1,0,0
25480,177400.00,0.080683,4.835736e-3,-4.835736e-3,1.012971e0,1.555036e-1,0,0
25481,177405.00,0.081179,4.865393e-3,-4.865393e-3,1.019123e0,1.554829e-1,0,0
25482,177410.00,0.081675,4.895049e-3,-4.895049e-3,1.018692e0,1.552368e-1,0,0
25483,177415.00,0.082171,4.924761e-3,-4.924761e-3,1.017489e0,1.548994e-1,0,0
25484,177420.00,0.082667,4.954414e-3,-4.954414e-3,1.014136e0,1.594755e-1,0,0
25485,177425.00,0.083164,4.984124e-3,-4.984124e-3,1.012610e0,1.591278e-1,0,0
25486,177430.00,0.083660,5.013775e-3,-5.013775e-3,1.009350e0,1.535845e-1,0,0
25487,177435.00,0.084157,5.043482e-3,-5.043482e-3,1.015871e0,1.584358e-1,0,0
25488,177440.00,0.084653,5.073131e-3,-5.073131e-3,1.015911e0,1.543577e-1,0,0
25489,177445.00,0.085150,5.102835e-3,-5.102835e-3,1.014546e0,1.602069e-1,0,0
25490,177450.00,0.085646,5.132481e-3,-5.132481e-3,1.012866e0,1.599369e-1,0,0
25491,177455.00,0.086143,5.162183e-3,-5.162183e-3,1.008100e0,1.586319e-1,0,0
25492,177460.00,0.086638,5.191827e-3,-5.191827e-3,1.008915e0,1.581084e-1,0,0
25493,177465.00,0.087135,5.221526e-3,-5.221526e-3,1.003468e0,1.574008e-1,0,0
25494,177470.00,0.087631,5.251167e-3,-5.251167e-3,1.016746e0,1.575001e-1,-1,1
25495,177475.00,0.088128,5.280864e-3,-5.280864e-3,1.014267e0,1.570806e-1,0,0
25496,177480.00,0.088624,5.310503e-3,-5.310503e-3,1.015840e0,1.564686e-1,0,0
25497,177485.00,0.089121,5.340197e-3,-5.340197e-3,1.018018e0,1.557478e-1,0,0
25498,177490.00,0.089617,5.369833e-3,-5.369833e-3,1.026778e0,1.549711e-1,0,0
