t_fs,step,phase,i_applied,v_cell,v_metal_a,v_metal_b,v_bulk_a,v_bulk_b
500.000,100,pre_hold,0.000000e0,-5.144892e-3,-2.590745e-3,2.554147e-3,-9.165237e-3,2.113530e-3
525.000,105,pre_hold,0.000000e0,-5.135503e-3,-2.587756e-3,2.547747e-3,-9.163190e-3,2.105267e-3
550.000,110,pre_hold,0.000000e0,-4.894027e-3,-2.582532e-3,2.311496e-3,-9.149716e-3,1.826598e-3
575.000,115,pre_hold,0.000000e0,-4.963313e-3,-2.575375e-3,2.387938e-3,-9.126078e-3,1.884532e-3
600.000,120,pre_hold,0.000000e0,-4.867374e-3,-2.587483e-3,2.279891e-3,-9.138204e-3,1.781277e-3
625.000,125,pre_hold,0.000000e0,-4.827807e-3,-2.567875e-3,2.259933e-3,-9.114120e-3,1.734720e-3
650.000,130,pre_hold,0.000000e0,-4.818545e-3,-2.571884e-3,2.246661e-3,-9.107665e-3,1.697417e-3
675.000,135,pre_hold,0.000000e0,-4.810614e-3,-2.572765e-3,2.237849e-3,-9.106876e-3,1.668998e-3
700.000,140,pre_hold,0.000000e0,-4.872398e-3,-2.566647e-3,2.305752e-3,-9.080608e-3,1.683835e-3
725.000,145,pre_hold,0.000000e0,-5.063083e-3,-2.556298e-3,2.506785e-3,-9.079318e-3,2.004777e-3
750.000,150,pre_hold,0.000000e0,-5.285693e-3,-2.561118e-3,2.724574e-3,-9.087694e-3,1.920280e-3
775.000,155,pre_hold,0.000000e0,-5.201577e-3,-2.547930e-3,2.653647e-3,-9.055771e-3,2.499186e-3
800.000,160,pre_hold,0.000000e0,-5.358865e-3,-2.550196e-3,2.808669e-3,-9.060995e-3,2.920219e-3
825.000,165,pre_hold,0.000000e0,-5.387100e-3,-2.550529e-3,2.836571e-3,-9.057050e-3,2.914503e-3
850.000,170,pre_hold,0.000000e0,-5.543503e-3,-2.561541e-3,2.981962e-3,-9.062996e-3,2.437181e-3
875.000,175,pre_hold,0.000000e0,-5.390444e-3,-2.545709e-3,2.844735e-3,-9.019365e-3,2.799497e-3
900.000,180,pre_hold,0.000000e0,-5.413592e-3,-2.537971e-3,2.875621e-3,-9.014846e-3,2.674484e-3
925.000,185,pre_hold,0.000000e0,-5.339133e-3,-2.535415e-3,2.803717e-3,-8.999605e-3,2.808166e-3
950.000,190,pre_hold,0.000000e0,-5.267583e-3,-2.534032e-3,2.733551e-3,-8.999497e-3,2.759092e-3
975.000,195,pre_hold,0.000000e0,-5.173476e-3,-2.523659e-3,2.649817e-3,-8.978353e-3,2.577568e-3
1000.000,200,pre_hold,0.000000e0,-5.128377e-3,-2.523709e-3,2.604669e-3,-8.971766e-3,2.397798e-3
1025.000,205,pre_hold,0.000000e0,-4.954608e-3,-2.528395e-3,2.426213e-3,-8.973110e-3,1.777598e-3
1050.000,210,pre_hold,0.000000e0,-5.445282e-3,-2.532940e-3,2.912342e-3,-8.965668e-3,1.638188e-3
1075.000,215,pre_hold,0.000000e0,-5.188941e-3,-2.518348e-3,2.670593e-3,-8.943376e-3,2.626569e-3
1100.000,220,pre_hold,0.000000e0,-5.301840e-3,-2.512259e-3,2.789581e-3,-8.923947e-3,2.728665e-3
1125.000,225,pre_hold,0.000000e0,-5.246747e-3,-2.512203e-3,2.734544e-3,-8.919697e-3,2.729713e-3
1150.000,230,pre_hold,0.000000e0,-5.234963e-3,-2.505166e-3,2.729798e-3,-8.906806e-3,2.705208e-3
1175.000,235,pre_hold,0.000000e0,-5.345728e-3,-2.505883e-3,2.839845e-3,-8.921414e-3,2.480380e-3
1200.000,240,pre_hold,0.000000e0,-5.355768e-3,-2.495898e-3,2.859870e-3,-8.885887e-3,2.425353e-3
1225.000,245,pre_hold,0.000000e0,-5.389818e-3,-2.499084e-3,2.890734e-3,-8.895486e-3,2.311167e-3
