frame,time_fs,mode_f1,mode_f2,mode_f3,mode_f4,mode_f5,setpoint_f1,setpoint_f2,setpoint_f3,setpoint_f4,setpoint_f5,actual_ratio_f1,actual_ratio_f2,actual_ratio_f3,actual_ratio_f4,actual_ratio_f5,delta_electrons_f1,delta_electrons_f2,delta_electrons_f3,delta_electrons_f4,delta_electrons_f5,li_metal_count_f1,li_metal_count_f2,li_metal_count_f3,li_metal_count_f4,li_metal_count_f5
9865,49325,CC,CC,OP,OP,CC,0.020000,-0.040000,1.000000,1.000000,0.020000,1.006866,0.968307,0.997585,1.000000,1.019535,20,-40,-24,43,21,1372,969,1012,694,845
10065,50325,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.017146,0.952269,1.000630,1.001474,1.026642,20,-40,-1,1,20,1403,1048,1357,1127,1384
10265,51325,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,0.993213,0.936111,1.012482,1.000000,1.002421,-45,-40,43,2,-52,1096,850,1132,797,1009
10465,52325,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,0.989625,0.921569,1.028257,1.001036,1.000958,-4,-40,40,3,-4,1023,739,1044,735,814
10665,53325,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,0.995792,0.975403,1.012539,0.990363,1.009155,9,103,-54,-20,10,1196,949,1365,1119,1190
10865,54325,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.010843,0.997880,0.997582,0.972358,1.016827,22,45,-31,-40,20,1430,1185,1424,1000,1018
11065,55325,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.015345,0.996865,0.998249,0.948110,1.027261,19,4,-5,-40,20,1334,1046,1483,1331,1384
11265,56325,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.003838,0.998763,1.022234,0.931439,0.999416,-41,3,42,-39,-44,1594,1387,1614,1389,1483
11465,57325,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,0.995301,1.000000,1.036686,0.906110,1.000000,-8,2,43,-41,-6,1047,926,1460,1112,1161
11665,58325,CC,CC,OP,OP,CC,0.020000,-0.040000,1.000000,1.000000,0.020000,0.995777,0.989057,1.005747,0.980220,1.007576,10,-21,-52,104,12,954,958,1162,680,958
11865,59325,CC,CC,OP,OP,CC,0.020000,-0.040000,1.000000,1.000000,0.020000,1.005917,0.971720,0.998015,0.999188,1.006567,20,-40,-28,38,21,1122,1043,1281,1002,836
12065,60325,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.018237,0.952237,0.999386,1.003077,1.028245,19,-39,-3,6,21,1415,1089,1399,1070,1434
12265,61325,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,0.996879,0.929041,1.021571,0.998187,1.002909,-48,-41,42,0,-47,1372,1292,1578,1425,1489
12465,62325,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.000000,0.920513,1.013889,1.002198,0.996700,-1,-40,41,2,-4,258,160,202,225,376
12665,63325,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,0.996508,0.978293,1.006077,0.995310,1.005525,8,98,-50,-19,10,1202,1106,1251,836,1037
12865,64325,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.004062,0.996226,0.997145,0.968930,1.014061,20,44,-28,-40,20,1247,830,1171,639,979
13065,65325,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.011701,1.002504,0.999342,0.951731,1.019201,20,7,0,-40,19,1052,968,1290,723,1072
13265,66325,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,0.994162,1.001145,1.011773,0.933931,0.999159,-43,0,44,-40,-44,969,643,1129,663,959
13465,67325,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,0.996036,0.997368,1.033426,0.903494,1.003928,-7,1,45,-40,-4,779,530,1206,972,1043
13665,68325,CC,CC,OP,OP,CC,0.020000,-0.040000,1.000000,1.000000,0.020000,0.995946,0.988288,1.008481,0.962598,1.005993,10,-21,-55,109,11,1250,880,1185,786,938
13865,69325,CC,CC,OP,OP,CC,0.020000,-0.040000,1.000000,1.000000,0.020000,1.010610,0.967368,0.999341,1.000000,1.009971,20,-40,-28,44,20,1278,720,1288,1001,1174
14065,70325,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.014670,0.955556,1.000000,1.006667,1.014241,20,-40,-3,4,19,179,175,247,220,402
14265,71325,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,0.992072,0.935780,1.017723,1.002788,0.999078,-45,-40,41,1,-39,653,642,1237,846,855
