frame,time_fs,arc_length_norm,roughness_rms,dead_li_frac,accessible_atoms
209639,1048195.000,5.576240,63.192917,0.675785,452
210639,1053195.000,5.578388,62.885468,0.670707,455
211639,1058195.000,5.515052,62.734905,0.675076,459
212639,1063195.000,5.415081,62.593643,0.679474,467
213639,1068195.000,5.400246,62.591599,0.664980,473
214639,1073195.000,5.397755,62.439026,0.667341,476
215639,1078195.000,5.097700,62.327888,0.668693,467
216639,1083195.000,5.511670,62.588223,0.667341,471
217639,1088195.000,5.506810,62.267532,0.675730,470
218639,1093195.000,5.655670,62.793381,0.679758,474
219639,1098195.000,5.818660,62.515938,0.666332,467
220639,1103195.000,5.809681,62.693531,0.675703,467
221639,1108195.000,5.673481,63.345963,0.685427,469
222639,1113195.000,6.335147,63.438076,0.687437,460
223639,1118195.000,6.112755,63.039875,0.675377,470
224639,1123195.000,6.124386,63.238636,0.676382,470
225639,1128195.000,6.230219,63.272614,0.675730,472
226639,1133195.000,5.797987,63.128708,0.677711,479
227639,1138195.000,5.792079,63.249706,0.672000,486
228639,1143195.000,5.700407,63.086052,0.680361,480
229639,1148195.000,5.727169,63.103355,0.679359,469
230639,1153195.000,5.740836,63.367012,0.681592,477
231639,1158195.000,5.766855,62.889755,0.679602,488
232639,1163195.000,5.744857,63.142342,0.678607,484
233639,1168195.000,5.690844,63.451355,0.678287,482
234639,1173195.000,5.736605,62.993027,0.678607,486
235639,1178195.000,5.613131,63.221550,0.678926,484
236639,1183195.000,6.043847,63.622303,0.680915,480
237639,1188195.000,5.980569,63.409569,0.681909,491
238639,1193195.000,5.624301,63.292542,0.684891,484
239639,1198195.000,5.610979,63.238968,0.687562,478
240639,1203195.000,6.221068,62.810307,0.684891,485
241639,1208195.000,6.221398,63.017738,0.687810,484
242639,1213195.000,5.898387,62.777794,0.700099,489
243639,1218195.000,5.897697,62.378075,0.697120,480
244639,1223195.000,5.919812,62.444771,0.697927,499
245639,1228195.000,5.858038,62.514408,0.700098,496
246639,1233195.000,5.825758,62.790367,0.699115,495
247639,1238195.000,5.580646,62.552856,0.701961,516
248639,1243195.000,5.578228,62.694771,0.687255,515
249639,1248195.000,6.267389,62.434505,0.688911,517
250639,1253195.000,5.567570,62.445030,0.700294,508
251639,1258195.000,6.104963,62.019043,0.700000,502
252639,1263195.000,6.020083,61.861057,0.699020,495
253639,1268195.000,6.219427,62.120399,0.698428,497
254639,1273195.000,6.234902,61.829308,0.698039,491
255639,1278195.000,6.187727,62.091446,0.699902,494
256639,1283195.000,6.311241,61.923256,0.703922,498
257639,1288195.000,6.732348,62.324097,0.701857,508
258639,1293195.000,6.693600,62.271709,0.703812,503
259639,1298195.000,6.606292,62.598663,0.707031,502
260639,1303195.000,6.604158,62.618725,0.711501,506
261639,1308195.000,6.650816,62.837372,0.686197,493
262639,1313195.000,6.419209,61.433918,0.690945,514
263639,1318195.000,6.609182,60.743935,0.723633,524
