phase,pulse_num,sim_time,eta_a,eta_b,e_delta_a,e_delta_b
rest,1,21300.0,-0.062706,-0.070000,0,0
rest,1,21400.0,-0.058824,-0.070117,0,0
rest,1,21500.0,-0.065217,-0.064205,0,0
rest,1,21600.0,-0.070866,-0.076642,0,0
rest,1,21700.0,-0.072664,-0.067496,0,0
rest,1,21800.0,-0.070000,-0.085470,0,0
rest,1,21900.0,-0.086957,-0.075472,0,0
rest,1,22000.0,-0.060413,-0.072993,0,0
rest,1,22100.0,-0.068223,-0.075330,0,0
rest,1,22200.0,-0.062794,-0.063191,0,0
rest,1,22300.0,-0.082126,-0.054201,0,0
rest,1,22400.0,-0.066246,-0.057325,0,0
rest,1,22500.0,-0.067797,-0.061644,0,0
rest,1,22600.0,-0.067485,-0.111732,0,0
rest,1,22700.0,-0.073702,-0.066986,0,0
rest,1,22800.0,-0.076305,-0.073529,0,0
rest,1,22900.0,-0.110092,-0.089386,0,0
rest,1,23000.0,-0.094241,-0.067797,0,0
rest,1,23100.0,-0.069085,-0.064646,0,0
rest,1,23200.0,-0.067257,-0.071895,0,0
rest,1,23300.0,-0.079848,-0.065147,0,0
rest,1,23400.0,-0.136170,-0.077170,0,0
rest,1,23500.0,-0.074349,-0.056338,0,0
rest,1,23600.0,-0.074227,-0.072937,0,0
rest,1,23700.0,-0.077058,-0.080679,0,0
rest,1,23800.0,-0.065010,-0.065421,0,0
rest,1,23900.0,-0.054146,-0.064935,0,0
rest,1,24000.0,-0.067851,-0.065625,0,0
rest,1,24100.0,-0.069952,-0.065253,0,0
rest,1,24200.0,-0.077544,-0.061162,0,0
rest,1,24300.0,-0.076923,-0.067176,0,0
rest,1,24400.0,-0.077236,-0.062370,0,0
rest,1,24500.0,-0.066667,-0.062500,0,0
rest,1,24600.0,-0.086066,-0.093960,0,0
rest,1,24700.0,-0.067912,-0.072993,0,0
rest,1,24800.0,-0.060781,-0.067947,0,0
rest,1,24900.0,-0.073702,-0.067568,0,0
rest,1,25000.0,-0.062500,-0.066456,0,0
rest,1,25100.0,-0.059406,-0.065041,0,0
rest,1,25200.0,-0.066066,-0.060241,0,0
rest,1,25300.0,-0.066826,-0.102564,0,0
rest,1,25400.0,-0.071856,-0.062593,0,0
rest,1,25500.0,-0.066570,-0.062874,0,0
rest,1,25600.0,-0.128514,-0.148148,0,0
rest,1,25700.0,-0.071895,-0.070229,0,0
rest,1,25800.0,-0.063954,-0.065185,0,0
rest,1,25900.0,-0.066282,-0.062794,0,0
rest,1,26000.0,-0.061919,-0.066667,0,0
rest,1,26100.0,-0.065217,-0.079855,0,0
rest,1,26200.0,-0.067797,-0.074919,0,0
rest,1,26300.0,-0.065319,-0.067227,0,0
rest,1,26400.0,-0.066365,-0.063492,0,0
rest,1,26500.0,-0.066066,-0.070513,0,0
rest,1,26600.0,-0.066187,-0.061674,0,0
rest,1,26700.0,-0.068966,-0.061584,0,0
rest,1,26800.0,-0.077052,-0.063018,0,0
rest,1,26900.0,-0.077922,-0.089552,0,0
rest,1,27000.0,-0.063309,-0.055718,0,0
rest,1,27100.0,-0.066860,-0.067947,0,0
rest,1,27200.0,-0.063676,-0.056250,0,0
rest,1,27300.0,-0.060781,-0.061256,0,0
rest,1,27400.0,-0.066092,-0.064140,0,0
rest,1,27500.0,-0.060519,-0.055800,0,0
rest,1,27600.0,-0.065770,-0.062696,0,0
rest,1,27700.0,-0.063309,-0.058282,0,0
rest,1,27800.0,-0.067278,-0.055641,0,0
rest,1,27900.0,-0.061314,-0.062038,0,0
rest,1,28000.0,-0.066474,-0.061224,0,0
rest,1,28100.0,-0.058224,-0.060883,0,0
rest,1,28200.0,-0.082988,-0.058252,0,0
rest,1,28300.0,-0.069173,-0.070175,0,0
rest,1,28400.0,-0.086957,-0.107463,0,0
rest,1,28500.0,-0.079576,-0.077381,0,0
rest,1,28600.0,-0.065379,-0.066265,0,0
rest,1,28700.0,-0.077973,-0.090000,0,0
rest,1,28800.0,-0.068759,-0.061947,0,0
rest,1,28900.0,-0.072131,-0.055215,0,0
rest,1,29000.0,-0.069666,-0.061350,0,0
rest,1,29100.0,-0.064394,-0.074703,0,0
rest,1,29200.0,-0.063954,-0.058824,0,0
rest,1,29300.0,-0.057576,-0.067350,0,0
rest,1,29400.0,-0.058651,-0.064897,0,0
rest,1,29500.0,-0.079646,-0.112245,0,0
rest,1,29600.0,-0.061947,-0.047847,0,0
rest,1,29700.0,-0.061765,-0.056962,0,0
rest,1,29800.0,-0.063898,-0.068966,0,0
rest,1,29900.0,-0.061192,-0.067524,0,0
rest,1,30000.0,-0.068966,-0.057489,0,0
rest,1,30100.0,-0.067524,-0.060703,0,0
rest,1,30200.0,-0.068759,-0.057229,0,0
rest,1,30300.0,-0.067153,-0.058997,0,0
rest,1,30400.0,-0.066282,-0.062780,0,0
rest,1,30500.0,-0.083333,-0.093750,0,0
rest,1,30600.0,-0.073099,-0.061404,0,0
rest,1,30700.0,-0.092105,-0.067532,0,0
rest,1,30800.0,-0.092369,-0.057143,0,0
rest,1,30900.0,-0.089172,-0.057971,0,0
rest,1,31000.0,-0.059791,-0.058737,0,0
rest,1,31100.0,-0.071066,-0.083117,0,0
rest,1,31200.0,-0.062305,-0.060790,0,0
rest,1,31300.0,-0.068376,-0.076372,0,0
rest,1,31400.0,-0.060484,-0.057692,0,0
rest,1,31500.0,-0.059791,-0.060241,0,0
rest,1,31600.0,-0.080338,-0.058252,0,0
rest,1,31700.0,-0.065476,-0.058309,0,0
rest,1,31800.0,-0.071301,-0.066536,0,0
rest,1,31900.0,-0.058104,-0.055385,0,0
rest,1,32000.0,-0.059072,-0.056566,0,0
rest,1,32100.0,-0.065185,-0.059970,0,0
rest,1,32200.0,-0.074957,-0.061789,0,0
rest,1,32300.0,-0.074380,-0.062706,0,0
rest,1,32400.0,-0.066465,-0.057143,0,0
rest,1,32500.0,-0.074689,-0.057377,0,0
rest,1,32600.0,-0.072790,-0.059801,0,0
rest,1,32700.0,-0.083538,-0.105263,0,0
rest,1,32800.0,-0.063158,-0.057971,0,0
rest,1,32900.0,-0.111111,-0.112821,0,0
rest,1,33000.0,-0.075314,-0.059859,0,0
rest,1,33100.0,-0.062968,-0.052632,0,0
rest,1,33200.0,-0.066253,-0.071882,0,0
rest,1,33300.0,-0.049180,-0.047393,0,0
rest,1,33400.0,-0.063670,-0.057778,0,0
rest,1,33500.0,-0.084211,-0.082902,0,0
rest,1,33600.0,-0.078091,-0.055675,0,0
rest,1,33700.0,-0.104530,-0.046296,0,0
rest,1,33800.0,-0.070588,-0.064356,0,0
rest,1,33900.0,-0.061033,-0.050633,0,0
rest,1,34000.0,-0.059233,-0.053830,0,0
rest,1,34100.0,-0.064865,-0.071429,0,0
rest,1,34200.0,-0.062271,-0.064103,0,0
rest,1,34300.0,-0.066536,-0.071823,0,0
rest,1,34400.0,-0.068345,-0.048780,0,0
rest,1,34500.0,-0.071301,-0.065789,0,0
rest,1,34600.0,-0.068627,-0.058442,0,0
rest,1,34700.0,-0.070707,-0.052632,0,0
rest,1,34800.0,-0.062193,-0.052632,0,0
rest,1,34900.0,-0.068627,-0.054159,0,0
rest,1,35000.0,-0.076923,-0.059091,0,0
rest,1,35100.0,-0.067568,-0.052402,0,0
rest,1,35200.0,-0.072790,-0.056452,0,0
rest,1,35300.0,-0.057239,-0.063927,0,0
rest,1,35400.0,-0.060606,-0.056926,0,0
rest,1,35500.0,-0.068376,-0.084337,0,0
rest,1,35600.0,-0.096491,-0.117021,0,0
rest,1,35700.0,-0.112554,-0.095745,0,0
rest,1,35800.0,-0.071698,-0.096070,0,0
rest,1,35900.0,-0.086331,-0.103093,0,0
rest,1,36000.0,-0.077253,-0.095652,0,0
rest,1,36100.0,-0.071895,-0.055888,0,0
rest,1,36200.0,-0.062397,-0.067594,0,0
rest,1,36300.0,-0.067093,-0.067653,0,0
rest,1,36400.0,-0.065744,-0.059701,0,0
rest,1,36500.0,-0.065405,-0.053381,0,0
rest,1,36600.0,-0.064715,-0.056042,0,0
rest,1,36700.0,-0.056939,-0.055319,0,0
rest,1,36800.0,-0.064030,-0.080717,0,0
rest,1,36900.0,-0.061256,-0.064626,0,0
rest,1,37000.0,-0.059603,-0.060606,0,0
rest,1,37100.0,-0.061483,-0.050847,0,0
rest,1,37200.0,-0.072727,-0.046595,0,0
rest,1,37300.0,-0.068841,-0.058394,0,0
rest,1,37400.0,-0.066007,-0.061889,0,0
rest,1,37500.0,-0.075812,-0.053422,0,0
rest,1,37600.0,-0.067797,-0.065359,0,0
rest,1,37700.0,-0.080000,-0.073892,0,0
rest,1,37800.0,-0.085000,-0.085106,0,0
rest,1,37900.0,-0.079422,-0.056198,0,0
rest,1,38000.0,-0.061765,-0.051037,0,0
rest,1,38100.0,-0.080808,-0.078161,0,0
rest,1,38200.0,-0.074468,-0.062201,0,0
rest,1,38300.0,-0.066038,-0.049917,0,0
rest,1,38400.0,-0.061657,-0.057692,0,0
rest,1,38500.0,-0.061224,-0.055914,0,0
rest,1,38600.0,-0.073654,-0.045558,0,0
rest,1,38700.0,-0.058915,-0.057143,0,0
rest,1,38800.0,-0.064140,-0.056782,0,0
rest,1,38900.0,-0.062968,-0.047695,0,0
rest,1,39000.0,-0.061404,-0.053333,0,0
rest,1,39100.0,-0.066946,-0.058027,0,0
rest,1,39200.0,-0.060606,-0.072805,0,0
rest,1,39300.0,-0.101010,-0.104712,0,0
rest,1,39400.0,-0.073320,-0.093264,0,0
rest,1,39500.0,-0.065421,-0.071174,0,0
rest,1,39600.0,-0.065868,-0.055829,0,0
rest,1,39700.0,-0.083067,-0.054348,0,0
rest,1,39800.0,-0.061538,-0.062397,0,0
rest,1,39900.0,-0.106796,-0.071006,0,0
rest,1,40000.0,-0.069952,-0.069652,0,0
rest,1,40100.0,-0.065882,-0.102857,0,0
rest,1,40200.0,-0.055351,-0.064030,0,0
rest,1,40300.0,-0.047532,-0.058501,0,0
rest,1,40400.0,-0.056637,-0.046512,0,0
rest,1,40500.0,-0.069959,-0.056497,0,0
rest,1,40600.0,-0.057576,-0.051282,0,0
rest,1,40700.0,-0.052469,-0.053156,0,0
rest,1,40800.0,-0.064516,-0.055474,0,0
rest,1,40900.0,-0.066378,-0.052632,0,0
