phase,pulse_num,sim_time,eta_a,eta_b,e_delta_a,e_delta_b
rest,1,22700.0,-0.076805,-0.067485,0,0
rest,1,22800.0,-0.073507,-0.070381,0,0
rest,1,22900.0,-0.074405,-0.069971,0,0
rest,1,23000.0,-0.071642,-0.070175,0,0
rest,1,23100.0,-0.072948,-0.070588,0,0
rest,1,23200.0,-0.076805,-0.067449,0,0
rest,1,23300.0,-0.080515,-0.074419,0,0
rest,1,23400.0,-0.076677,-0.073846,0,0
rest,1,23500.0,-0.077042,-0.072508,0,0
rest,1,23600.0,-0.075873,-0.072289,0,0
rest,1,23700.0,-0.067073,-0.071429,0,0
rest,1,23800.0,-0.075643,-0.068657,0,0
rest,1,23900.0,-0.077042,-0.070381,0,0
rest,1,24000.0,-0.073456,-0.076539,0,0
rest,1,24100.0,-0.078947,-0.070988,0,0
rest,1,24200.0,-0.076103,-0.067548,0,0
rest,1,24300.0,-0.069182,-0.067548,0,0
rest,1,24400.0,-0.094303,-0.076503,0,0
rest,1,24500.0,-0.071535,-0.070278,0,0
rest,1,24600.0,-0.073507,-0.072327,0,0
rest,1,24700.0,-0.075301,-0.067961,0,0
rest,1,24800.0,-0.074184,-0.069952,0,0
rest,1,24900.0,-0.073248,-0.072165,0,0
rest,1,25000.0,-0.067847,-0.069291,0,0
rest,1,25100.0,-0.073482,-0.073016,0,0
rest,1,25200.0,-0.075301,-0.072441,0,0
rest,1,25300.0,-0.091816,-0.076782,0,0
rest,1,25400.0,-0.092555,-0.089552,0,0
rest,1,25500.0,-0.076336,-0.100000,0,0
rest,1,25600.0,-0.075301,-0.074919,0,0
rest,1,25700.0,-0.073282,-0.070692,0,0
rest,1,25800.0,-0.072617,-0.070381,0,0
rest,1,25900.0,-0.070988,-0.068759,0,0
rest,1,26000.0,-0.074850,-0.066958,0,0
rest,1,26100.0,-0.077882,-0.067901,0,0
rest,1,26200.0,-0.076190,-0.073960,0,0
rest,1,26300.0,-0.075188,-0.070381,0,0
rest,1,26400.0,-0.075873,-0.073314,0,0
rest,1,26500.0,-0.073855,-0.073314,0,0
rest,1,26600.0,-0.072727,-0.070278,0,0
rest,1,26700.0,-0.073206,-0.067647,0,0
rest,1,26800.0,-0.073421,-0.070485,0,0
rest,1,26900.0,-0.066869,-0.065574,0,0
rest,1,27000.0,-0.072993,-0.072617,0,0
