frame,time_fs,mode_f1,mode_f2,mode_f3,mode_f4,mode_f5,setpoint_f1,setpoint_f2,setpoint_f3,setpoint_f4,setpoint_f5,actual_ratio_f1,actual_ratio_f2,actual_ratio_f3,actual_ratio_f4,actual_ratio_f5,delta_electrons_f1,delta_electrons_f2,delta_electrons_f3,delta_electrons_f4,delta_electrons_f5,li_metal_count_f1,li_metal_count_f2,li_metal_count_f3,li_metal_count_f4,li_metal_count_f5
9167,45835,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.025344,0.999416,1.000542,0.949338,1.024831,20,6,-3,-40,18,1585,1481,1615,1507,1542
9367,46835,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.002242,1.000000,1.023090,0.929234,1.000566,-41,1,42,-40,-48,1554,1469,1589,1494,1537
9567,47835,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.000555,1.000000,1.044727,0.906398,1.001684,-7,1,44,-40,-2,1572,1480,1581,1458,1551
9767,48835,CC,CC,OP,OP,CC,0.020000,-0.040000,1.000000,1.000000,0.020000,1.004948,0.988284,1.017621,0.971193,1.005675,8,-21,-53,106,8,1589,1477,1586,1471,1532
9967,49835,CC,CC,OP,OP,CC,0.020000,-0.040000,1.000000,1.000000,0.020000,1.011588,0.965540,1.000584,0.997324,1.010601,20,-40,-35,47,20,1237,1279,1481,1265,1185
10167,50835,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.026761,0.947705,1.000541,1.000000,1.028539,20,-40,0,5,22,1601,1491,1618,1506,1522
10367,51835,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.002191,0.927241,1.022186,0.999424,1.002862,-47,-40,40,-2,-49,1596,1488,1618,1506,1517
10567,52835,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,0.999448,0.906360,1.043728,0.998464,0.998070,-4,-40,42,1,-4,1582,1468,1508,1072,1324
10767,53835,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.006031,0.970228,1.017838,0.987847,1.005111,10,110,-50,-21,9,1594,1483,1620,1498,1531
10967,54835,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.013730,0.999344,1.000000,0.967425,1.013325,21,49,-28,-40,21,1518,1294,1478,1397,1421
11167,55835,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.023409,1.000000,1.001896,0.946159,1.017464,19,2,-2,-40,19,1137,1161,1352,1293,1316
11367,56835,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.002767,1.000000,1.021954,0.927476,1.000559,-44,0,40,-40,-47,1577,1399,1592,1466,1558
11567,57835,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.000000,1.001245,1.037394,0.904850,0.996289,-7,0,43,-40,-7,1536,1376,1535,1399,1387
11767,58835,CC,CC,OP,OP,CC,0.020000,-0.040000,1.000000,1.000000,0.020000,1.006776,0.987768,1.011925,0.971951,1.001230,12,-21,-54,109,10,1541,1405,1531,1410,1396
11967,59835,CC,CC,OP,OP,CC,0.020000,-0.040000,1.000000,1.000000,0.020000,1.015551,0.965101,1.000601,0.995648,1.009607,21,-40,-26,46,20,1249,1260,1433,919,915
12167,60835,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.025713,0.942623,1.000000,1.000000,1.025098,21,-40,-2,7,18,1559,1478,1608,1487,1563
12367,61835,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.001677,0.923124,1.021018,1.000000,1.002230,-49,-40,40,0,-44,1559,1409,1578,1486,1564
12567,62835,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.000000,0.900651,1.041551,1.000000,0.999444,-4,-40,42,0,-5,1589,1461,1575,1423,1567
12767,63835,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.005017,0.969625,1.016520,0.986975,1.001465,9,114,-51,-21,11,1564,1449,1586,1459,1135
12967,64835,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.015589,0.999372,1.000555,0.966121,1.015819,20,49,-31,-40,20,1502,1362,1572,1482,1540
13167,65835,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.021663,0.998618,0.997483,0.948966,1.016830,20,2,-1,-39,19,1201,1217,1359,1318,1196
13367,66835,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,0.999267,1.000744,1.018205,0.923745,0.989655,-46,1,40,-40,-50,1135,1114,1363,1383,1220
13567,67835,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.001170,1.000000,1.036585,0.905685,0.996377,-4,0,41,-40,-1,1479,1355,1492,1318,1426
13767,68835,CC,CC,OP,OP,CC,0.020000,-0.040000,1.000000,1.000000,0.020000,1.008163,0.988040,1.011811,0.968927,1.000716,10,-21,-50,115,9,1240,1275,1294,1186,1166
13967,69835,CC,CC,OP,OP,CC,0.020000,-0.040000,1.000000,1.000000,0.020000,1.017241,0.966165,0.999431,0.997630,1.016505,21,-40,-27,48,19,1568,1366,1528,1458,1527
14167,70835,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.028007,0.943296,1.000542,1.000000,1.028474,20,-40,-4,6,22,1591,1463,1614,1474,1526
14367,71835,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.000564,0.919712,1.022552,1.000000,1.000000,-47,-40,43,0,-49,1543,1439,1588,1463,1246
14567,72835,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,0.999310,0.905024,1.040327,1.000617,0.998009,-2,-40,43,0,-3,1220,1223,1481,1392,1277
14767,73835,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.007616,0.967666,1.002266,0.989583,0.998693,9,114,-59,-21,9,1083,1038,1094,922,535
